============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        1621.33              4              0  0000000000000000  0000000000000000
      1        4698.66          54616              1  0000000000000001  0000000000000001
      2        9764.32         116029           2562  0d27fde8a87a0ebe  7393b65ebd53ca1b
      3        71943.6          76676           1462  0d27fde8a87a0ebe  9732d9db2e7e2245
      4    1.04911e+08      675987194       20377667  0d27fde8a87a0ebe  f1c3e24627c1d678
      5       0.999999              5              1  26eabfaf49b46807  07068e991ca9abc1
      6        905.999           1123             26  26eabfaf49b46807  133f55f2648fecce
      7        6843.99          12081             97  26eabfaf49b46807  53360b0d29e60035
      8         105287         174853           2557  26eabfaf49b46807  82574bb65160613d
      9        1.33333              7              1  26eabfaf49b46807  8e5e435081afd6fb
     10              2              7              1  26eabfaf49b46807  a5b9dd26ead2f771
     11        72.9999             20              0  26eabfaf49b46807  dc68f269af97a825
     12        1936.66            938             18  26eabfaf49b46807  f85e603e82e8a059
     13        10073.7          94502           2557  9b6b67663caff197  01bcfdb46338199f
     14        9635.99          88514              3  9b6b67663caff197  05f27bcc1cdb8266
     15        12112.3         111826              0  9b6b67663caff197  1b21b53707c358f6
     16        7685.33          70210              1  9b6b67663caff197  22bb6da8a0416390
     17        9.66666             13              1  9b6b67663caff197  6862616b2eb03d7a
     18       0.666666              5              2  9b6b67663caff197  754f937a72a32e15
     19        93.3332              9              1  9b6b67663caff197  c95c57b49558ef66
     20       0.999999              3              0  9b6b67663caff197  e38d9ac4f4fc8417
     21        4125.66           6553             37  9b6b67663caff197  ea58e854dec6c4c0
     22         161518            813            236  9b6b67663caff197  f11ba1ac3c6de015
     23    3.48792e+08     1384093340       21541116  9b6b67663caff197  f2bdb52c73dba2c7
     24        9045.66          83202              0  9b6b67663caff197  fa8ea32b53831861
     25        1.33333              7              2  a56d04c363e13700  098c78d9fa04e08a
     26        77091.3           6540             57  a56d04c363e13700  1776424a4a9e8336
     27        293.333            101              2  a56d04c363e13700  20001b767bcd4beb
     28       0.333333              4              1  a56d04c363e13700  28cbb1688adc06d1
     29       0.666666              6              1  a56d04c363e13700  3b6df67f33774bd2
     30        5758.66          50168           1309  a56d04c363e13700  60c4d4d4e0412413
     31        6833.33           5743            253  a56d04c363e13700  6689142888329f8c
     32        56354.6         164594           5190  a56d04c363e13700  8adb5482b7db49d1
     33       0.333333              3              0  a56d04c363e13700  ab2f03b51a72512c
     34        9.33332             16              5  a56d04c363e13700  ef7d4b97ea23523f
     35          14694         119508              0  abc675ef47e07b7f  174779975e86f455
     36        75.6666             30             13  abc675ef47e07b7f  1992fcee9a199399
     37       0.999999              6              1  abc675ef47e07b7f  87e7f12c017876ea
     38           2110           5744              9  abc675ef47e07b7f  a678e5ad06e249a8
     39        3.66666              9              2  abc675ef47e07b7f  adc0e7a2a634810f
     40       0.999999              5              1  abc675ef47e07b7f  bd49465c4dd56070
     41        7818.33          81472              1  abc675ef47e07b7f  be993a2c079f97e1
     42        2.33333              8              2  abc675ef47e07b7f  c2cb14c20f7a22f1
     43    9.06823e+08     1171887810       21662611  abc675ef47e07b7f  e32e62722cfb2564
     44    1.12289e+06         116533           5124  abc675ef47e07b7f  e907806bc2eee8ac
