============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0           4843              3              0  0000000000000000  0000000000000000
      1          54797          54620             85  0000000000000001  0000000000000001
      2         239401         116042           4117  0d27fde8a87a0ebe  7393b65ebd53ca1b
      3         212575          76785           1634  0d27fde8a87a0ebe  9732d9db2e7e2245
      4    2.75692e+07       25108057         349985  0d27fde8a87a0ebe  f1c3e24627c1d678
      5             67              8              0  26eabfaf49b46807  07068e991ca9abc1
      6          24857           6713             91  26eabfaf49b46807  133f55f2648fecce
      7          33109          12050            290  26eabfaf49b46807  53360b0d29e60035
      8          23528           5376            115  26eabfaf49b46807  82574bb65160613d
      9             67              8              0  26eabfaf49b46807  8e5e435081afd6fb
     10             87             12              3  26eabfaf49b46807  a5b9dd26ead2f771
     11             34             18              2  26eabfaf49b46807  dc68f269af97a825
     12           4376            950              4  26eabfaf49b46807  f85e603e82e8a059
     13           1330             90              3  714078e5b39a254e  fa0805800a5489a2
     14          36388           3200            175  9b6b67663caff197  01bcfdb46338199f
     15          31481           2560            181  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200             27  9b6b67663caff197  1b21b53707c358f6
     17          36088           2560            204  9b6b67663caff197  22bb6da8a0416390
     18            109             14              1  9b6b67663caff197  6862616b2eb03d7a
     19             55              4              0  9b6b67663caff197  754f937a72a32e15
     20            177              9              2  9b6b67663caff197  c95c57b49558ef66
     21              8              5              0  9b6b67663caff197  e38d9ac4f4fc8417
     22          21851           6948            237  9b6b67663caff197  ea58e854dec6c4c0
     23            857             27              5  9b6b67663caff197  f11ba1ac3c6de015
     24    1.21987e+08       43253760         576556  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560             34  9b6b67663caff197  fa8ea32b53831861
     26            139              8              0  a56d04c363e13700  098c78d9fa04e08a
     27          24706           8777             88  a56d04c363e13700  1776424a4a9e8336
     28           8943           3139             14  a56d04c363e13700  20001b767bcd4beb
     29              4              4              1  a56d04c363e13700  28cbb1688adc06d1
     30            117              4              0  a56d04c363e13700  3b6df67f33774bd2
     31           2814           1568             30  a56d04c363e13700  60c4d4d4e0412413
     32          23732           6133            218  a56d04c363e13700  6689142888329f8c
     33          14118           5832             89  a56d04c363e13700  8adb5482b7db49d1
     34              4              4              0  a56d04c363e13700  ab2f03b51a72512c
     35            189             15              1  a56d04c363e13700  ef7d4b97ea23523f
     36           3200           3200             59  abc675ef47e07b7f  174779975e86f455
     37            769             27              2  abc675ef47e07b7f  1992fcee9a199399
     38             13              7              0  abc675ef47e07b7f  87e7f12c017876ea
     39          13373           6131             74  abc675ef47e07b7f  a678e5ad06e249a8
     40             74             10              0  abc675ef47e07b7f  adc0e7a2a634810f
     41             55              4              0  abc675ef47e07b7f  bd49465c4dd56070
     42           2560           2560             48  abc675ef47e07b7f  be993a2c079f97e1
     43             70              9              0  abc675ef47e07b7f  c2cb14c20f7a22f1
     44    1.88719e+08       34078720        1099153  abc675ef47e07b7f  e32e62722cfb2564
     45          48756           3840            272  abc675ef47e07b7f  e907806bc2eee8ac
============================================================
Thread 1
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    2.44579e+07       23806604         375589  0000000000000000  0000000000000000
      5             67              8              0  26eabfaf49b46807  07068e991ca9abc1
      6          20512           7918             78  26eabfaf49b46807  133f55f2648fecce
      7          43337          12844            435  26eabfaf49b46807  53360b0d29e60035
      8          20899           5376             73  26eabfaf49b46807  82574bb65160613d
      9             67              8              0  26eabfaf49b46807  8e5e435081afd6fb
     10            467             12              2  26eabfaf49b46807  a5b9dd26ead2f771
     11            243             18              2  26eabfaf49b46807  dc68f269af97a825
     14          35909           3200            158  9b6b67663caff197  01bcfdb46338199f
     15          30820           2560            162  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200             34  9b6b67663caff197  1b21b53707c358f6
     17          35532           2560            187  9b6b67663caff197  22bb6da8a0416390
     18            153             14              1  9b6b67663caff197  6862616b2eb03d7a
     19            174              4              1  9b6b67663caff197  754f937a72a32e15
     20            225              9              7  9b6b67663caff197  c95c57b49558ef66
     21              8              5              0  9b6b67663caff197  e38d9ac4f4fc8417
     22          16260           6299            118  9b6b67663caff197  ea58e854dec6c4c0
     23            908             27             13  9b6b67663caff197  f11ba1ac3c6de015
     24    1.21987e+08       43253760         571953  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560             32  9b6b67663caff197  fa8ea32b53831861
     26            208              8              1  a56d04c363e13700  098c78d9fa04e08a
