============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        1621.33              2              0  0000000000000000  0000000000000000
      1    6.14075e+08     5071063654       26455266  0000000000000001  0000000000000001
      2    2.69981e+09     7046307869       32687268  32bf58d955408e84  3eb1ea77df4714d9
      3        8193.66          98306              1  32bf58d955408e84  49db3f271bc172b7
      4        14863.7          17773            348  32bf58d955408e84  4ad3c69ebc193b2a
      5        8197.99          98307           1535  32bf58d955408e84  734b7dbabbfd0e29
      6        3559.66            865            142  32bf58d955408e84  745d46c46e565807
      7          16384         172032            961  32bf58d955408e84  7c21fb734c91c1f5
      8        3.66666             20              1  32bf58d955408e84  8a862b2919e6770c
      9        3.66666             24              6  32bf58d955408e84  937ed986f85be7c9
     10        2.66666             11              3  32bf58d955408e84  fbc9da8e89d53548
     11        1.66667             17              1  809b947bec6b8603  0408ef32fbf7e4ee
     12    2.29177e+08     1669338330            150  809b947bec6b8603  14779e62b896c2f7
     13        69778.6          77359           1346  809b947bec6b8603  1683f8ce3553bd83
     14    2.23863e+06       21820824              2  809b947bec6b8603  1c9f773ff47572b8
     15        1.33333             13              2  809b947bec6b8603  3104bd27b5448924
     16        22805.6         172030            515  809b947bec6b8603  3788c02fcab78333
     17     1.2016e+08      679475209        2938160  809b947bec6b8603  41c24c85ed3e9620
     18       0.999999             10              2  809b947bec6b8603  548356444ccccd2f
     19       0.333333              3              2  809b947bec6b8603  67e110c805dafa2b
     20    2.27434e+07          38616           1030  809b947bec6b8603  6d34abec61f50887
     21              3             12              3  809b947bec6b8603  7235baeda0eb4f1e
     22    2.94052e+08     3021490644          40496  809b947bec6b8603  9786e1dcc73d2fcf
     23     1.0794e+08      981494187       10658826  809b947bec6b8603  9f3a51f749290d47
     24    7.59339e+07      743009282       11211835  809b947bec6b8603  a6ccbca2c2af6f14
     25        2.33333             22             12  809b947bec6b8603  bec88f08f71a48fd
     26        2.33333             24              6  809b947bec6b8603  ce252d65360fc839
     27        2566.33          25596              2  809b947bec6b8603  cf425b999f12e495
     28        17663.6           7294            461  809b947bec6b8603  d4d314b5c016ef28
     29              2             21              0  809b947bec6b8603  dc678eccd7d6b1de
     30    7.59637e+07      742999037       11618219  809b947bec6b8603  e0bbfb494c2d5c2c
     31         289338         443550           6102  809b947bec6b8603  f256cd6ac3069e28
     32        5341.33           1139            211  e6f079db413586a2  6b71333b75674395
     33       0.333333              2              1  e6f079db413586a2  7c255a8dde704632
