============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        1619.67              4              0  0000000000000000  0000000000000000
      1    1.22561e+06       12588081        1545842  0000000000000001  0000000000000001
      2       0.333333              3              0  49656ccb91e9c76f  051501928592f442
      3       0.333333              3              2  49656ccb91e9c76f  311fd959fec7d164
      4       0.999999              5              1  49656ccb91e9c76f  4d9c9b669c60446f
      5              2             12              1  49656ccb91e9c76f  9ea8d3edf201e835
      6     6.5313e+08       51271692        3233309  49656ccb91e9c76f  a618db2bd6719a10
      7    4.58159e+06       46132218        6810120  49656ccb91e9c76f  c98f8b4099f12040
      8        74372.6          78568           1475  49656ccb91e9c76f  d953f095b4280aab
      9       0.333333              2              1  49656ccb91e9c76f  ec1f84cc1ba92db4
     10        4.99999              6              0  49656ccb91e9c76f  f4cd70c4032bc8d0
     11        871.999              7              2  8c1ff77ad7934087  0e351af631054ed7
     12    1.81762e+06       16777081         600201  8c1ff77ad7934087  137699f4a195dee1
     13    1.40849e+06       13422150         302723  8c1ff77ad7934087  500e2cb149f56d9c
     14       0.999999              3              2  8c1ff77ad7934087  74206c4ee1402c92
     15    1.40082e+06       13421993          88560  8c1ff77ad7934087  765bcca88de4b323
     16       0.666666              6              0  8c1ff77ad7934087  b677eb4d3f1e8796
     17        6971.66           6849             90  8c1ff77ad7934087  e72c38140cdfcaa1
     18        5084.99            822            173  8c1ff77ad7934087  ed1482202b102153
     19       0.333333              2              0  fec56f3c0eca995d  133f389d2226db7a
     20        4982.33           1159            213  fec56f3c0eca995d  ec7eca1a3efd58bb
