============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        1619.67              4              0  0000000000000000  0000000000000000
      1    2.80734e+06       26837754        1944492  0000000000000001  0000000000000001
      2       0.333333              4              0  1866de6262030b62  03886e78081eb251
      3     4.8849e+08       32453815        3205349  1866de6262030b62  09ecce19f53e1556
      4    1.34613e+07      132545832        6411472  1866de6262030b62  5fd01cd91143e222
      5        75495.6          78572           1472  1866de6262030b62  76d152a085c7cf07
      6        1.33333              6              1  1866de6262030b62  e83e4df8b17d24ae
      7       0.666666              3              1  1866de6262030b62  e94213bae3341c66
      8       0.333333              3              0  1866de6262030b62  ea784faa8ccb6ee3
      9       0.999999              9              1  48684ec8bfd97ded  34112a0ea8b5f30b
     10        5191.33           1157            211  48684ec8bfd97ded  ccb6b37c252d44a1
     11        6813.66           6849             90  e2b6fe18141c73c2  2e2d57f1c5ea3765
     12     1.0488e+06        8388559         440239  e2b6fe18141c73c2  3f2d0d95ae638372
     13       0.666666              6              1  e2b6fe18141c73c2  4f95f60c907e73e8
     14       0.999999              3              2  e2b6fe18141c73c2  51afbe1632166904
     15    1.39845e+06       14155439         580468  e2b6fe18141c73c2  a4d3544d5ed43005
     16        4475.33            823            133  e2b6fe18141c73c2  cd6a62d0bfbf6ae3
     17        872.666              7              4  e2b6fe18141c73c2  f061d403e9857552
     18         699355        6816079           1212  e2b6fe18141c73c2  f55247acbf9b46fd
