============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          11007              2           7661  0000000000000000  0000000000000000
      1         333808         916807           3591  0000000000000001  0000000000000001
      2        14.3333             20              1  00cd149a786f0aab  009ef8b67f1fe58f
      3        4.66666             24              1  00cd149a786f0aab  05aff99e9a30de33
      4          11142          56064              1  00cd149a786f0aab  0b1c6d7df0e37bcd
      5        6.33333             11              0  00cd149a786f0aab  0d84ea9be53443c4
      6        3.33333             14              0  00cd149a786f0aab  141d2d52fa89b287
      7        489.666           4478              1  00cd149a786f0aab  1bb822ba7bd7cb1b
      8        7149.99          49658              1  00cd149a786f0aab  1c4cd40b1c85e2c3
      9              2             14              0  00cd149a786f0aab  1db88b4fca36bb19
     10        945.666           6269             46  00cd149a786f0aab  230e848ea99b0779
     11        65950.6         137226              0  00cd149a786f0aab  2633d222ad0465d6
     12        252.666            290              1  00cd149a786f0aab  2709780be66dea10
     13        524.333           1170              1  00cd149a786f0aab  2f83da88f51d3cee
     14        8.99999             64              1  00cd149a786f0aab  38c2a170c28015d4
     15              2             13              0  00cd149a786f0aab  3ca43e15f84cade5
     16        6.66666              8              1  00cd149a786f0aab  3f3d3f5ef4f6b46e
     17        2.33333             21              1  00cd149a786f0aab  4bc66f1b60757840
     18        97.3332            452             56  00cd149a786f0aab  4fcfbd14119795df
     19       0.666666              8              0  00cd149a786f0aab  64cdfbfc472edb56
     20        55.3333            263              1  00cd149a786f0aab  6a5398a22ab7dee9
     21        5.66666             10              1  00cd149a786f0aab  6a8c65c5ba8ccc64
     22           1476           7319              0  00cd149a786f0aab  769030590867523e
     23        461.666            909              5  00cd149a786f0aab  79b3f96d73725cb6
     24           1404          10493              1  00cd149a786f0aab  7dd6147e45e80118
     25        47.6666            135              0  00cd149a786f0aab  821cb16cb9e34333
     26              5             25              1  00cd149a786f0aab  900b292a8a412ef3
     27        1.33333              8              1  00cd149a786f0aab  90c3b8b71571aeb6
     28        800.999           1054              9  00cd149a786f0aab  a01b4bca2e728fb1
     29        377.666            634              1  00cd149a786f0aab  a04c70774a5ef9ee
     30          30323         145937           1312  00cd149a786f0aab  a1e33e9635b0a60a
     31        560.666           4328              0  00cd149a786f0aab  a58f936b05571808
     32        11650.7         106063              0  00cd149a786f0aab  a93a2ad889978766
     33        565.999           1428             23  00cd149a786f0aab  b56cb2948e710379
     34        1.33333             12              0  00cd149a786f0aab  b7b22362220deb11
     35        20358.6          77904             76  00cd149a786f0aab  bc5e7b9804a5ec3f
     36        245.333            668              1  00cd149a786f0aab  d21317f549311255
     37        4.33333             31              1  00cd149a786f0aab  d78edc4f08cbf688
     38        8395.66          59195              1  00cd149a786f0aab  e6bf4d03c47f7f7d
     39        592.999           1299             15  00cd149a786f0aab  eda74cb56b3c7301
     40           3306          13360              2  00cd149a786f0aab  f6efeaae8e24fb37
     41        981.999           3679              0  00cd149a786f0aab  fdc8d828526bde40
     42        149.667            646              2  02b7cdad78333092  4d0d6abaf6ced069
     43           3628           8843             71  02b7cdad78333092  4df68cf257692b96
     44       0.333333              3              1  02b7cdad78333092  51e9d0162d953ff2
     45       0.333333              4              1  02b7cdad78333092  aab635a8e944a29e
     46        2051.33           3452             42  02b7cdad78333092  c3964e1d4e99585f
     47        109.667            240              1  02b7cdad78333092  d3fea09d3c155100
     48              2             13              1  1804b8d6265366b4  07f4b21e3d22cd67
     49        2.66666             14              1  1804b8d6265366b4  2698687ab74a03a2
     50       0.999999              9              1  1804b8d6265366b4  2ed8f5e28781a966
     51        6.33333             49              1  1804b8d6265366b4  52f68edba5da0659
     52        971.999           1339              8  1804b8d6265366b4  555fe6132aed6973
     53        1.33333             10              1  1804b8d6265366b4  b736410c0b3b9d21
     54       0.999999              9              0  1804b8d6265366b4  c4971953b77995eb
     55       0.333333              2              0  1f6192f89ea2f2f3  0133f81b74a9b6c1
     56        1.33333              7              1  1f6192f89ea2f2f3  1be912ef71fefc44
     57        79.9999              4              0  1f6192f89ea2f2f3  1d2b122df58823c7
     58       0.666666              3              0  1f6192f89ea2f2f3  27d742194c1f0d25
     59             13             95              1  1f6192f89ea2f2f3  35bf660f723b512b
     60        1575.33            231              2  1f6192f89ea2f2f3  38ba09d5977c8fec
