============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        11006.7              2           7664  0000000000000000  0000000000000000
      1         354137        1083131           3577  0000000000000001  0000000000000001
      2              5             25              1  0445e6e4169bfc8f  02422f1b7638b926
      3              3             24              1  0445e6e4169bfc8f  039ef9f420ebd3cf
      4        3.66666             29              0  0445e6e4169bfc8f  102d06ecf394acdd
      5        4.99999             21              1  0445e6e4169bfc8f  1755590d2865e8c8
      6        62.6666            341              8  0445e6e4169bfc8f  19390eae9ce519a1
      7        28.6666             31              1  0445e6e4169bfc8f  1e72fe18dde0235d
      8        5.33333             50              1  0445e6e4169bfc8f  2e532073abe2996a
      9        5.99999             52              1  0445e6e4169bfc8f  3255d0555040a65c
     10        3.66666             37              0  0445e6e4169bfc8f  38493a9081c2dad8
     11        2.33333             23              0  0445e6e4169bfc8f  3934b0ecbb8898f2
     12             21             58              1  0445e6e4169bfc8f  3e91476ba4b6754f
     13             13             46              0  0445e6e4169bfc8f  4822b007b8e3076c
     14        3.33333             37              0  0445e6e4169bfc8f  536726126f234721
     15        3.33333             31              0  0445e6e4169bfc8f  538f0d9b40c727db
     16        3.66666             35              1  0445e6e4169bfc8f  5af57c85bad68305
     17        3.66666             30              1  0445e6e4169bfc8f  63d8761676250b0f
     18           1824           2723             43  0445e6e4169bfc8f  6be49a0a69a88d36
     19             11             78              1  0445e6e4169bfc8f  70ae0cb536ec9c40
     20          13469          23114            118  0445e6e4169bfc8f  712955bfaca4bc6b
     21        2.66666             25              0  0445e6e4169bfc8f  723c7f332f11c466
     22        5.66666             31              1  0445e6e4169bfc8f  75dc42561dcc2e86
     23              4             44              1  0445e6e4169bfc8f  9446b594bff954ba
     24             20            139              0  0445e6e4169bfc8f  965961494d47ffc3
     25            302           1030              1  0445e6e4169bfc8f  9777501ed26fb5e4
     26        15.6667             31              1  0445e6e4169bfc8f  97d76f88b80f5d31
     27        2.33333             14              1  0445e6e4169bfc8f  9a59ec70a6f64ca0
     28        31.3333            110              1  0445e6e4169bfc8f  9b0ce11d0b5dff7f
     29        3.66666             35              1  0445e6e4169bfc8f  b756337768619b65
     30        62.9999             23              0  0445e6e4169bfc8f  b91522d3229f05be
     31        4.66666             20              0  0445e6e4169bfc8f  bd0211e9b6973685
     32        6.66666             56              1  0445e6e4169bfc8f  be58fd557242b76e
     33        143.333            136              1  0445e6e4169bfc8f  c2ae49216d46d391
     34        5.33333             35              1  0445e6e4169bfc8f  cd93a28484063eda
     35        16.3333             57              1  0445e6e4169bfc8f  d4224e6a9af45bb3
     36        4.66666             50              1  0445e6e4169bfc8f  e29263248046bc90
     37           2020           4549             28  0445e6e4169bfc8f  e295c4ed3d53656d
     38        5.66666             61              1  0445e6e4169bfc8f  e5d5c5668006113f
     39        1335.33            600              1  0445e6e4169bfc8f  fb20099465046e8e
     40        1905.66           6017              1  1601f5cbea11108a  4e95f8d9d022e025
     41           1637           6160              0  1601f5cbea11108a  6c58f46d016de167
     42        7586.33          26737              7  1601f5cbea11108a  8d87132f92679dbf
     43           1520           9645              0  1601f5cbea11108a  9259d0225b0eb4df
     44        850.332           6953              1  1601f5cbea11108a  c8671bfc661acc0d
     45        1130.33            976             27  17a27d9b3da1dc2e  0a4a25fec73c9ace
     46       0.333333              2              0  17a27d9b3da1dc2e  0e571953a940d3c8
     47        1.33333              5              1  17a27d9b3da1dc2e  12b4306394273bce
     48       0.999999             11              1  17a27d9b3da1dc2e  17d33d4be86c4ad0
     49        163.333             11              1  17a27d9b3da1dc2e  181ad22e4aecd0e4
     50        202.333             94              0  17a27d9b3da1dc2e  1f210631ecb986aa
     51       0.666666              4              1  17a27d9b3da1dc2e  21240b4f207273a2
     52       0.333333              3              0  17a27d9b3da1dc2e  268e1ee954ecb5d5
     53       0.333333              3              1  17a27d9b3da1dc2e  2a5b0b96ba7e71ca
     54        15.6667             95              1  17a27d9b3da1dc2e  35448d80fb6bb006
     55       0.999999              6              1  17a27d9b3da1dc2e  4924c2dc4636a3d3
     56        1.33333             13              1  17a27d9b3da1dc2e  55da087794bf9852
     57        1.33333              5              0  17a27d9b3da1dc2e  5a1fa0556d97a70a
     58        175.666              8              1  17a27d9b3da1dc2e  5f27010fa0fdee08
     59        40.3333             98              0  17a27d9b3da1dc2e  682e493d5276d81b
     60        63.3333              3              0  17a27d9b3da1dc2e  6fa9b5ce31e031e0
     61        61.9999              5              1  17a27d9b3da1dc2e  85c876ef8e4c6e9e
     62            185              6              0  17a27d9b3da1dc2e  8ad7335abd830e3d
     63        87.9999             13              1  17a27d9b3da1dc2e  9a8643c85a0f4409
     64       0.333333              3              1  17a27d9b3da1dc2e  9ca293bef720a9c4
     65       0.333333              4              1  17a27d9b3da1dc2e  9fe2adfdad2cf945
     66       0.333333              4              0  17a27d9b3da1dc2e  a8591f3a7d38482a
     67        8.33332             96              0  17a27d9b3da1dc2e  acb4cba9027afeb1
     68        63.6666             11              1  17a27d9b3da1dc2e  b59e9ed97a5fce25
     69       0.999999              6              1  17a27d9b3da1dc2e  b70819ed571ebf11
     70        78.6666             17              2  17a27d9b3da1dc2e  cbfa7c3562a88814
     71       0.333333              4              0  17a27d9b3da1dc2e  d00ca6cf6dc20799
     72        1131.33            230              2  17a27d9b3da1dc2e  d34571f149589cdc
     73        69.6666              5              0  17a27d9b3da1dc2e  d9072f4ec17894fd
     74       0.333333              2              0  17a27d9b3da1dc2e  eabf8614042f24b6
     75        89.9999             18              3  17a27d9b3da1dc2e  ecc4ddb435cdf2ea
     76       0.333333              2              0  17a27d9b3da1dc2e  ee10df36aae81295
     77        9.99999             17              3  17a27d9b3da1dc2e  f1d73074d9166175
     78        15.6667             95              0  17a27d9b3da1dc2e  f79a04cfd55b46e9
     79       0.333333              3              1  17a27d9b3da1dc2e  fa4411dba838cc0d
     80        165.333             12              1  17a27d9b3da1dc2e  fdddc66f54d1fdf4
     81            417           3856              1  209943c9217e5975  0fde62bb8fc4e70b
     82        1.33333             13              1  209943c9217e5975  125370a7a461a4b7
     83        964.332           8812              0  209943c9217e5975  1c8ed4cb7294f978
     84        983.666           6595              1  209943c9217e5975  1f0300976addedeb
     85        1.66667              5              1  209943c9217e5975  1f1d767d00675b72
     86        432.333           3394              1  209943c9217e5975  2290c96b12c6805d
     87       0.666666              4              1  209943c9217e5975  232cb6a6895666cd
     88        87.3332             96              0  209943c9217e5975  2adb8c5e5be39e7c
     89       0.666666              5              0  209943c9217e5975  373cb96cbee76680
     90       0.666666              7              1  209943c9217e5975  3e80a342fccb2345
     91       0.666666              7              1  209943c9217e5975  400480c45dee03ef
     92       0.666666              5              0  209943c9217e5975  4c36118290211a6b
     93        5.99999             66              1  209943c9217e5975  520a0f729c5770a3
     94        2906.66          15406              2  209943c9217e5975  53874b4c04eb1556
     95        1319.33           8875              2  209943c9217e5975  77552644f22a842f
     96        195.333           1845              0  209943c9217e5975  7b0f584c0ec62cf3
     97       0.333333              4              1  209943c9217e5975  84e0050112eedd8a
     98        199.333           2122              0  209943c9217e5975  87be1d327055db70
     99       0.666666              8              1  209943c9217e5975  8858d2ad93af8977
    100        449.333           4344              0  209943c9217e5975  99a04e23f6b96ce8
    101       0.333333              4              0  209943c9217e5975  a5c2dda94758c6ba
    102       0.333333              3              0  209943c9217e5975  aa497e7a95e70cc7
    103       0.999999              7              0  209943c9217e5975  ad3c246abea84fe4
    104       0.333333              4              0  209943c9217e5975  c1ba554b0b5bc306
    105       0.999999              5              0  209943c9217e5975  c2a653011316a9ea
    106        419.666           3148              1  209943c9217e5975  c2a9fa3b6e9d204c
    107       0.666666              4              1  209943c9217e5975  c380080f8351e074
    108        67.3333            624              1  209943c9217e5975  c5b60b813318c51a
    109       0.333333              4              1  209943c9217e5975  c625149e6cc77d82
    110        220.666           1689              0  209943c9217e5975  cdae0eb942ae8003
    111        46.3333            341              1  209943c9217e5975  e31c0499e2824888
    112        205.666            932              1  209943c9217e5975  e6bb95bc2f22b6e3
    113        310.666           2132              0  209943c9217e5975  e93235fd803c22eb
    114       0.333333              3              1  209943c9217e5975  fca4d18526718f42
    115        685.666            315             15  36a8852be33d6213  0542964b9b7a1cbc
    116        7.66666              8              1  36a8852be33d6213  3a18c6d471d40b0f
    117       0.999999              4              0  36a8852be33d6213  46cd1bced2159d0d
    118        819.333            949             17  36a8852be33d6213  4f597f2c55276400
    119        39.6666            414              0  46f04fdd0c5e76fe  0c52f07f521b77d5
    120       0.666666              5              0  46f04fdd0c5e76fe  20b78194d9a0a847
    121            486            325              1  46f04fdd0c5e76fe  2abbe5f8fc83d76d
    122             37            102              0  46f04fdd0c5e76fe  2f069da2f09be955
    123       0.666666              7              0  46f04fdd0c5e76fe  3fadf0bc4fe2360d
    124        36.6666            391              1  46f04fdd0c5e76fe  3fc6d9a1e2ce7e73
    125       0.333333              3              0  46f04fdd0c5e76fe  507116d30090decb
    126        34.6666            346              0  46f04fdd0c5e76fe  621a7b8d538c6b6e
    127           1289           4085             10  46f04fdd0c5e76fe  63a29b6fc7d3b7ba
    128        47.6666            332              1  46f04fdd0c5e76fe  69b45d8295d1e2bc
    129        30.3333            312              0  46f04fdd0c5e76fe  83e8d1abe8a77996
    130        14.6667             88              0  46f04fdd0c5e76fe  84067c84d5986281
    131       0.666666              8              1  46f04fdd0c5e76fe  8fad8e09cdd5b47d
    132        6.99999             63              1  46f04fdd0c5e76fe  9083e61bd0346f02
    133        65.6666            121              0  46f04fdd0c5e76fe  952d98b40ffb6927
    134        112.333            229              1  46f04fdd0c5e76fe  a71f30ffc3448397
    135        64.9999              8              0  46f04fdd0c5e76fe  abaa2aa945fa4536
    136       0.333333              4              1  46f04fdd0c5e76fe  c3faffd1faeafb1d
    137        20.6666            246              0  46f04fdd0c5e76fe  ca2d8bda4295efc1
    138        51.3333            558              1  46f04fdd0c5e76fe  dfe01ff5fa34e24c
    139            122            136              0  46f04fdd0c5e76fe  e3f29da9b767552d
    140       0.666666              5              1  46f04fdd0c5e76fe  f22a6ce4b4083713
    141              0              0            292  4c1aac0c3b1bb23d  2df613caf308bc92
    142        21.3333            141              0  5999f5b201485785  15ab19a6afd89561
    143        70.9999             33              0  5999f5b201485785  41e09525d7ae3b89
    144        13.6667             79              4  5999f5b201485785  420e0886d4918d91
    145        11.6667             46              1  5999f5b201485785  53480ed18464a6ba
    146        2.66666             21              0  5999f5b201485785  82d7bbafadeaa6ba
    147        15.3333             99              1  5999f5b201485785  8c0e3c47b369af2f
    148        6.99999             57              4  5999f5b201485785  b0187cff41bc779c
    149        3.66666             34              0  5999f5b201485785  ba4105ac72bfb2d5
    150        9.66666             20              1  5999f5b201485785  ba76fdea27f3c643
    151        377.666            404              0  5999f5b201485785  bc0b7031890fdc13
    152        4.66666             45              1  5999f5b201485785  d316ebe0a5907a75
    153        9.66666             48              0  5999f5b201485785  ee73e4ccfc22e46c
    154        2158.33           1675              8  5999f5b201485785  f5865b894b2bbb95
    155       0.333333              4              1  5ce40bd74764e682  0242c01a66772781
    156       0.666666              8              1  5ce40bd74764e682  0824573d3310acb8
    157       0.333333              4              0  5ce40bd74764e682  0b2ab4a3728969a7
    158        5.66666              5              1  5ce40bd74764e682  1a05e6674e729f61
    159        1361.67           2132              6  5ce40bd74764e682  1f508f2d7297f028
    160        3.66666             30              0  5ce40bd74764e682  280f8e51fb41444f
