============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          33023              3          13139  0000000000000000  0000000000000000
      1    4.01082e+06        1707100          18637  0000000000000001  0000000000000001
      4    5.74178e+06        2530050          50934  00cd149a786f0aab  0b1c6d7df0e37bcd
      6             28             28              0  00cd149a786f0aab  141d2d52fa89b287
      7         219953         102130           2771  00cd149a786f0aab  1bb822ba7bd7cb1b
      8    2.11986e+07        2277045         127945  00cd149a786f0aab  1c4cd40b1c85e2c3
     10         144552         142982           3013  00cd149a786f0aab  230e848ea99b0779
     11    1.28779e+07        6907817         117813  00cd149a786f0aab  2633d222ad0465d6
     13         824689         382234           3067  00cd149a786f0aab  2f83da88f51d3cee
     16            162              8              0  00cd149a786f0aab  3f3d3f5ef4f6b46e
     18         111181          15980            789  00cd149a786f0aab  4fcfbd14119795df
     19             13              7              4  00cd149a786f0aab  64cdfbfc472edb56
     21            497             11              6  00cd149a786f0aab  6a8c65c5ba8ccc64
     22         445456          65566           4152  00cd149a786f0aab  74fb4d60c4ceeb8f
     23         371761         142989           3889  00cd149a786f0aab  769030590867523e
     25    2.58223e+06         246528          13623  00cd149a786f0aab  7dd6147e45e80118
     26           2936            156             27  00cd149a786f0aab  821cb16cb9e34333
     27          13787           1926             95  00cd149a786f0aab  900b292a8a412ef3
     30          39937          16458             83  00cd149a786f0aab  a04c70774a5ef9ee
     31    7.77123e+07        6907817         509266  00cd149a786f0aab  a1e33e9635b0a60a
     32         180315         102720           2036  00cd149a786f0aab  a58f936b05571808
     33    4.99007e+06        4934155          76832  00cd149a786f0aab  a93a2ad889978766
     34          55962          18655            330  00cd149a786f0aab  b56cb2948e710379
     36         282748         143656           2097  00cd149a786f0aab  bc5e7b9804a5ec3f
     37    1.01844e+07        4759361          23054  00cd149a786f0aab  d21317f549311255
     38          21441           1926            135  00cd149a786f0aab  d78edc4f08cbf688
     39    3.92011e+06        2783055          40768  00cd149a786f0aab  e6bf4d03c47f7f7d
     40           3318            742             26  00cd149a786f0aab  eda74cb56b3c7301
     41    5.72983e+06        2323923          42394  00cd149a786f0aab  f6efeaae8e24fb37
     42          82176          82176           1316  00cd149a786f0aab  fdc8d828526bde40
     43           1401            653              0  02b7cdad78333092  4d0d6abaf6ced069
     44          27047           8978              0  02b7cdad78333092  4df68cf257692b96
     45             59              5              0  02b7cdad78333092  51e9d0162d953ff2
     46             59              5              0  02b7cdad78333092  aab635a8e944a29e
     47          13180           3555              0  02b7cdad78333092  c3964e1d4e99585f
     48            568            244              0  02b7cdad78333092  d3fea09d3c155100
     49            775             45              5  0425062c4766f5d3  61e7572410003ce9
     50             71             14              1  1804b8d6265366b4  07f4b21e3d22cd67
     51             79             16              1  1804b8d6265366b4  2698687ab74a03a2
     52             61             10              1  1804b8d6265366b4  2ed8f5e28781a966
     53            208             50              2  1804b8d6265366b4  52f68edba5da0659
     54           3989           1333             41  1804b8d6265366b4  555fe6132aed6973
     55             67             10              2  1804b8d6265366b4  b736410c0b3b9d21
     56              8              8              0  1804b8d6265366b4  c4971953b77995eb
     57              8              5              0  1f6192f89ea2f2f3  0133f81b74a9b6c1
     58             65              8              1  1f6192f89ea2f2f3  1be912ef71fefc44
     59              4              4              0  1f6192f89ea2f2f3  1d2b122df58823c7
     60              4              4              0  1f6192f89ea2f2f3  27d742194c1f0d25
     61            220             92              1  1f6192f89ea2f2f3  35bf660f723b512b
     62            530            231              4  1f6192f89ea2f2f3  38ba09d5977c8fec
     63           3967            953             51  1f6192f89ea2f2f3  5747f3fd44283369
     64              4              4              0  1f6192f89ea2f2f3  5e081d71a6bbf2c0
     65             60              6              2  1f6192f89ea2f2f3  718706310014d162
     66             62             11              1  1f6192f89ea2f2f3  947468bb83c4a253
     67             56              5              1  1f6192f89ea2f2f3  9d07c7298f6a0b30
     68             80             14              2  1f6192f89ea2f2f3  a1e6741a1b6f77fd
     69             59              5              1  1f6192f89ea2f2f3  a817511143a786fa
     70             62              8              2  1f6192f89ea2f2f3  a9d32922a196269a
     71             59              5              1  1f6192f89ea2f2f3  bb9f05d20cea2ef3
     72             11              8              0  1f6192f89ea2f2f3  c073f656b4e0540e
     73             49              5              1  1f6192f89ea2f2f3  d3445648e0df7cd3
     74            192             92              0  1f6192f89ea2f2f3  ef5bad216079093c
     75             76             25              1  2317c109d66f141e  0d21997db7d4fbee
     76           2017           1172              1  2317c109d66f141e  1099240203d100c0
     77             70             49              0  2317c109d66f141e  1318d7458e08e914
     78            107             35              1  2317c109d66f141e  1a3d52fb0f3b6e23
     79            121             49              1  2317c109d66f141e  2369a65ab83f330a
     80             63             42              0  2317c109d66f141e  2daa056aa474162b
     81             28             28              0  2317c109d66f141e  3188d54cc06bf2ce
     82             44             44              0  2317c109d66f141e  3204e3cc87df149b
     83            171             70              1  2317c109d66f141e  3abaf30ac863478a
     84            358            156              2  2317c109d66f141e  3f250d8c325390cf
     85            170             63              1  2317c109d66f141e  435c3d89e6335052
     86             91             25              2  2317c109d66f141e  494f7cf0173c28e3
     87             56             35              0  2317c109d66f141e  4c4a1d52346d5cf1
     88             63             42              0  2317c109d66f141e  5cfbb025853e697d
     89            161             77              1  2317c109d66f141e  64359b9769e1d4c8
     90            264            156              0  2317c109d66f141e  656c6228f569a8b1
     91          50808          25106            186  2317c109d66f141e  6db92c487bcf0f41
     92             28             28              0  2317c109d66f141e  839f189b3c026308
     93            107             35              1  2317c109d66f141e  86940daf0d16a033
     94            304            121              1  2317c109d66f141e  86a86ede2fc875f6
     95             44             44              0  2317c109d66f141e  89b6660bce3c2c2c
     96            147             42              1  2317c109d66f141e  8a2a970187ae0fe3
     97            107             35              2  2317c109d66f141e  8b39d80040f7e3a2
     98             95             44              2  2317c109d66f141e  949a548f129e70dd
     99             60             42              0  2317c109d66f141e  9f6ca00e0fcfb2cd
    100            159             60              1  2317c109d66f141e  a93001b2ec1e0f16
    101           1079            671              2  2317c109d66f141e  b2a5bd037ac2e72f
    102            136             42              2  2317c109d66f141e  bd54dd3df0b9dc67
    103            163             70              1  2317c109d66f141e  c54e2485372b9e37
    104           7975           2825             85  2317c109d66f141e  d45d5dc7afa6038c
    105             60             42              2  2317c109d66f141e  e4c00b80fb4e0145
    106            128             63              1  2317c109d66f141e  ea3638f535a230dc
    107             28             28              0  2317c109d66f141e  f4103445025b9b11
    108            177             63              1  2317c109d66f141e  f4801d8dde0dd1cb
    109            135             63              1  2317c109d66f141e  f5749fcdb6e494cc
    110            714            330              6  2317c109d66f141e  f58d264004586064
    111          11124           4693             63  2317c109d66f141e  f8b1490ada9a15eb
    112             79             28              2  2317c109d66f141e  ff1a0abcdce33fcf
    113             62              8              2  240bb41aee18aede  00595d52823ea9c3
    114              8              5              0  240bb41aee18aede  00e525168b7f3793
    115             59              5              2  240bb41aee18aede  0a2d06666e07e6c3
    116             81             18              1  240bb41aee18aede  111a49366625940b
    117            228             92              1  240bb41aee18aede  12247bbce15e4808
    118             79             13              3  240bb41aee18aede  1362c11df017a9c0
    119             98             19              2  240bb41aee18aede  262a87887e733dad
    120            177             92              0  240bb41aee18aede  34f128a02dc23663
    121            189             19              3  240bb41aee18aede  397d26a03cfa5554
    122             55             11              1  240bb41aee18aede  3b3ff40256acdfba
    123             65              8              1  240bb41aee18aede  3c210caa1eaaf77a
    124             56              5              1  240bb41aee18aede  444a62faac5791b2
    125             56              5              1  240bb41aee18aede  4794909462440e04
    126            114             12              3  240bb41aee18aede  4c2fbe44925922f0
    127            260             19              6  240bb41aee18aede  5374aeec76157ac6
    128            161             92              0  240bb41aee18aede  56635b351c4fa200
    129            225             92              1  240bb41aee18aede  6677e666005f72ed
    130              8              5              0  240bb41aee18aede  6786ffbd0ef30a77
    131              8              5              0  240bb41aee18aede  6aff8c995af584b2
    132            113             11              4  240bb41aee18aede  74fbfd12205ba9ee
    133              4              4              0  240bb41aee18aede  78ce64771f731444
    134             52              5              2  240bb41aee18aede  88a7e02eb6397361
    135            433            229              2  240bb41aee18aede  8b18a7f2a7b3900d
    136             59              5              1  240bb41aee18aede  93e614841143f61a
    137             66             11              1  240bb41aee18aede  93ffa032cc3b3836
    138            205             92              2  240bb41aee18aede  99150e94d8d39d40
    139              9              6              0  240bb41aee18aede  a370ec2fcc670f63
    140             55             11              2  240bb41aee18aede  a752588e33be74f8
    141             59              5              1  240bb41aee18aede  a8d6c12ded731602
    142              8              5              0  240bb41aee18aede  abc86cb522019ebd
    143             59              5              1  240bb41aee18aede  b156482ca7907109
    144             55              4              1  240bb41aee18aede  c1ba5593a323f66d
    145              8              5              0  240bb41aee18aede  dadaa8f5b930b5f9
    146             55              4              1  240bb41aee18aede  dcf1d3b441e7544b
    147              8              5              0  240bb41aee18aede  dd4a0eeb2c94b6fa
    148             59              5              1  240bb41aee18aede  e4ca507eb357c62a
    149             60              6              1  28b203d8bf5c526d  02f07deafec047bf
    150            114             12              2  28b203d8bf5c526d  04cfb8c528077220
