============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          33022              3          13070  0000000000000000  0000000000000000
      1    6.01545e+06        3549552          22060  0000000000000001  0000000000000001
      2             99             30              1  0445e6e4169bfc8f  02422f1b7638b926
      3             76             25              1  0445e6e4169bfc8f  039ef9f420ebd3cf
      4             48             30              0  0445e6e4169bfc8f  102d06ecf394acdd
      5             75             24              1  0445e6e4169bfc8f  1755590d2865e8c8
      6            682            300             11  0445e6e4169bfc8f  19390eae9ce519a1
      7            143             36              2  0445e6e4169bfc8f  1e72fe18dde0235d
      8            134             50              1  0445e6e4169bfc8f  2e532073abe2996a
      9            183             54              1  0445e6e4169bfc8f  3255d0555040a65c
     10             54             36              0  0445e6e4169bfc8f  38493a9081c2dad8
     11             24             24              0  0445e6e4169bfc8f  3934b0ecbb8898f2
     12            155             60              1  0445e6e4169bfc8f  3e91476ba4b6754f
     13             40             40              0  0445e6e4169bfc8f  4822b007b8e3076c
     14             60             42              0  0445e6e4169bfc8f  536726126f234721
     15             40             40              0  0445e6e4169bfc8f  538f0d9b40c727db
     16             92             30              1  0445e6e4169bfc8f  5af57c85bad68305
     17             50             35              2  0445e6e4169bfc8f  63d8761676250b0f
     18           7748           2713             89  0445e6e4169bfc8f  6be49a0a69a88d36
     19            199             70              2  0445e6e4169bfc8f  70ae0cb536ec9c40
     20          47216          22973            170  0445e6e4169bfc8f  712955bfaca4bc6b
     21             54             36              0  0445e6e4169bfc8f  723c7f332f11c466
     22             50             35              1  0445e6e4169bfc8f  75dc42561dcc2e86
     23            144             42              1  0445e6e4169bfc8f  9446b594bff954ba
     24            244            132              0  0445e6e4169bfc8f  965961494d47ffc3
     25           1964           1018              3  0445e6e4169bfc8f  9777501ed26fb5e4
     26            124             36              1  0445e6e4169bfc8f  97d76f88b80f5d31
     27            123             25              1  0445e6e4169bfc8f  9a59ec70a6f64ca0
     28            342            110              2  0445e6e4169bfc8f  9b0ce11d0b5dff7f
     29            107             30              1  0445e6e4169bfc8f  b756337768619b65
     30             24             24              0  0445e6e4169bfc8f  b91522d3229f05be
     31             24             24              1  0445e6e4169bfc8f  bd0211e9b6973685
     32            123             54              2  0445e6e4169bfc8f  be58fd557242b76e
     33            272            132              1  0445e6e4169bfc8f  c2ae49216d46d391
     34             91             40              1  0445e6e4169bfc8f  cd93a28484063eda
     35            147             60              1  0445e6e4169bfc8f  d4224e6a9af45bb3
     36            167             54              1  0445e6e4169bfc8f  e29263248046bc90
     37          11017           4554             64  0445e6e4169bfc8f  e295c4ed3d53656d
     38            123             54              1  0445e6e4169bfc8f  e5d5c5668006113f
     39            931            570              1  0445e6e4169bfc8f  fb20099465046e8e
     40          36980           8192              0  1601f5cbea11108a  4e95f8d9d022e025
     41          13312           6144              0  1601f5cbea11108a  6c58f46d016de167
     42          31657          25506              0  1601f5cbea11108a  8d87132f92679dbf
     43          41984          10240              0  1601f5cbea11108a  9259d0225b0eb4df
     44          14489           8192              0  1601f5cbea11108a  c8671bfc661acc0d
     45           3866            969             53  17a27d9b3da1dc2e  0a4a25fec73c9ace
     46             56              5              1  17a27d9b3da1dc2e  0e571953a940d3c8
     47             59              5              1  17a27d9b3da1dc2e  12b4306394273bce
     48             62             11              2  17a27d9b3da1dc2e  17d33d4be86c4ad0
     49             55             11              1  17a27d9b3da1dc2e  181ad22e4aecd0e4
     50            173             92              0  17a27d9b3da1dc2e  1f210631ecb986aa
     51             55              4              1  17a27d9b3da1dc2e  21240b4f207273a2
     52              8              5              0  17a27d9b3da1dc2e  268e1ee954ecb5d5
     53            107              5              3  17a27d9b3da1dc2e  2a5b0b96ba7e71ca
     54            236             92              1  17a27d9b3da1dc2e  35448d80fb6bb006
     55            115              8              2  17a27d9b3da1dc2e  4924c2dc4636a3d3
     56             79             13              1  17a27d9b3da1dc2e  55da087794bf9852
     57              8              5              0  17a27d9b3da1dc2e  5a1fa0556d97a70a
     58             62              8              1  17a27d9b3da1dc2e  5f27010fa0fdee08
     59            228             92              1  17a27d9b3da1dc2e  682e493d5276d81b
     60              8              5              0  17a27d9b3da1dc2e  6fa9b5ce31e031e0
     61             59              5              1  17a27d9b3da1dc2e  85c876ef8e4c6e9e
     62              5              5              0  17a27d9b3da1dc2e  8ad7335abd830e3d
     63             63             12              1  17a27d9b3da1dc2e  9a8643c85a0f4409
     64             60              6              1  17a27d9b3da1dc2e  9ca293bef720a9c4
     65             59              5              2  17a27d9b3da1dc2e  9fe2adfdad2cf945
     66              8              5              0  17a27d9b3da1dc2e  a8591f3a7d38482a
     67            169             92              0  17a27d9b3da1dc2e  acb4cba9027afeb1
     68             66             11              1  17a27d9b3da1dc2e  b59e9ed97a5fce25
     69             59              5              1  17a27d9b3da1dc2e  b70819ed571ebf11
     70            137             19              3  17a27d9b3da1dc2e  cbfa7c3562a88814
     71              8              5              0  17a27d9b3da1dc2e  d00ca6cf6dc20799
     72            505            229              4  17a27d9b3da1dc2e  d34571f149589cdc
     73              5              5              0  17a27d9b3da1dc2e  d9072f4ec17894fd
     74              4              4              0  17a27d9b3da1dc2e  eabf8614042f24b6
     75            185             18              5  17a27d9b3da1dc2e  ecc4ddb435cdf2ea
     76              4              4              0  17a27d9b3da1dc2e  ee10df36aae81295
     77            185             19              5  17a27d9b3da1dc2e  f1d73074d9166175
     78            177             92              0  17a27d9b3da1dc2e  f79a04cfd55b46e9
     79             59              5              2  17a27d9b3da1dc2e  fa4411dba838cc0d
     80             85             11              1  17a27d9b3da1dc2e  fdddc66f54d1fdf4
     81           4249           4096              0  209943c9217e5975  0fde62bb8fc4e70b
     82             70             12              0  209943c9217e5975  125370a7a461a4b7
     83          15408           7168              0  209943c9217e5975  1c8ed4cb7294f978
     84          10616           4872              0  209943c9217e5975  1f0300976addedeb
     85             63              5              0  209943c9217e5975  1f1d767d00675b72
     86           4405           3421              0  209943c9217e5975  2290c96b12c6805d
     87             56              4              0  209943c9217e5975  232cb6a6895666cd
     88          52424          24799              0  209943c9217e5975  2adb8c5e5be39e7c
     89              8              5              0  209943c9217e5975  373cb96cbee76680
     90             63              6              0  209943c9217e5975  3e80a342fccb2345
     91             70              6              0  209943c9217e5975  400480c45dee03ef
     92              4              4              0  209943c9217e5975  4c36118290211a6b
     93          11603           5702              0  209943c9217e5975  520a0f729c5770a3
     94         127245          15360              0  209943c9217e5975  53874b4c04eb1556
     95          89698          48502              0  209943c9217e5975  77552644f22a842f
     96           1108           1108              0  209943c9217e5975  7b0f584c0ec62cf3
     97             55              4              0  209943c9217e5975  84e0050112eedd8a
     98           1352           1352              0  209943c9217e5975  87be1d327055db70
     99             67              7              0  209943c9217e5975  8858d2ad93af8977
    100          21036           4224              0  209943c9217e5975  99a04e23f6b96ce8
    101              4              4              0  209943c9217e5975  a5c2dda94758c6ba
    102             56              5              0  209943c9217e5975  aa497e7a95e70cc7
    103              9              6              0  209943c9217e5975  ad3c246abea84fe4
    104             10              5              0  209943c9217e5975  c1ba554b0b5bc306
    105              4              4              0  209943c9217e5975  c2a653011316a9ea
    106           4107           3120              0  209943c9217e5975  c2a9fa3b6e9d204c
    107             55              4              0  209943c9217e5975  c380080f8351e074
    108           4568           3248              0  209943c9217e5975  c5b60b813318c51a
    109            107              5              0  209943c9217e5975  c625149e6cc77d82
    110           1364           1364              0  209943c9217e5975  cdae0eb942ae8003
    111           1726           1624              0  209943c9217e5975  e31c0499e2824888
    112           9210           4453              0  209943c9217e5975  e6bb95bc2f22b6e3
    113           4256           2660              0  209943c9217e5975  e93235fd803c22eb
    114             55              4              0  209943c9217e5975  fca4d18526718f42
    115           1620            324             25  36a8852be33d6213  0542964b9b7a1cbc
    116             59              8              1  36a8852be33d6213  3a18c6d471d40b0f
    117              8              8              0  36a8852be33d6213  46cd1bced2159d0d
    118           4834            958             73  36a8852be33d6213  4f597f2c55276400
    119           4060           2030              0  46f04fdd0c5e76fe  0c52f07f521b77d5
    120             36             24              0  46f04fdd0c5e76fe  20b78194d9a0a847
    121          29360           5580              0  46f04fdd0c5e76fe  2abbe5f8fc83d76d
    122           3065            496              0  46f04fdd0c5e76fe  2f069da2f09be955
    123             20             20              0  46f04fdd0c5e76fe  3fadf0bc4fe2360d
    124           3297           1917              0  46f04fdd0c5e76fe  3fc6d9a1e2ce7e73
    125             24             24              0  46f04fdd0c5e76fe  507116d30090decb
    126           9964           1908              0  46f04fdd0c5e76fe  621a7b8d538c6b6e
    127          24553          11375              6  46f04fdd0c5e76fe  63a29b6fc7d3b7ba
    128           3318           2010              0  46f04fdd0c5e76fe  69b45d8295d1e2bc
    129           1065           1065              0  46f04fdd0c5e76fe  83e8d1abe8a77996
    130           1736            992              0  46f04fdd0c5e76fe  84067c84d5986281
    131            138             24              0  46f04fdd0c5e76fe  8fad8e09cdd5b47d
    132          17318           8583              0  46f04fdd0c5e76fe  9083e61bd0346f02
    133           2460           2460              0  46f04fdd0c5e76fe  952d98b40ffb6927
    134           7491           4464              0  46f04fdd0c5e76fe  a71f30ffc3448397
    135            164             40              0  46f04fdd0c5e76fe  abaa2aa945fa4536
    136            118             16              0  46f04fdd0c5e76fe  c3faffd1faeafb1d
    137           2750           1544              0  46f04fdd0c5e76fe  ca2d8bda4295efc1
    138           3350           2030              0  46f04fdd0c5e76fe  dfe01ff5fa34e24c
    139           2480           2480              0  46f04fdd0c5e76fe  e3f29da9b767552d
    140             67             16              0  46f04fdd0c5e76fe  f22a6ce4b4083713
    141              0              0            981  4c1aac0c3b1bb23d  2df613caf308bc92
    142            180            135              0  5999f5b201485785  15ab19a6afd89561
    143             40             40              0  5999f5b201485785  41e09525d7ae3b89
    144            135             90              6  5999f5b201485785  420e0886d4918d91
    145            143             45              1  5999f5b201485785  53480ed18464a6ba
    146             20             20              0  5999f5b201485785  82d7bbafadeaa6ba
    147            150            105              1  5999f5b201485785  8c0e3c47b369af2f
    148            124             50              5  5999f5b201485785  b0187cff41bc779c
    149             50             35              0  5999f5b201485785  ba4105ac72bfb2d5
    150             71             20              2  5999f5b201485785  ba76fdea27f3c643
    151            851            376              4  5999f5b201485785  bc0b7031890fdc13
    152            201             45              2  5999f5b201485785  d316ebe0a5907a75
    153             65             50              0  5999f5b201485785  ee73e4ccfc22e46c
    154           3768           1666             26  5999f5b201485785  f5865b894b2bbb95
    155            107              5              0  5ce40bd74764e682  0242c01a66772781
    156            108              6              0  5ce40bd74764e682  0824573d3310acb8
    157              8              5              0  5ce40bd74764e682  0b2ab4a3728969a7
    158            109              7              0  5ce40bd74764e682  1a05e6674e729f61
    159          14130           2123              0  5ce40bd74764e682  1f508f2d7297f028
    160             40             40              0  5ce40bd74764e682  280f8e51fb41444f
    161            267             92              0  5ce40bd74764e682  2946328c31ee78be
    162            267             92              0  5ce40bd74764e682  32b7e99421a37f00
    163            114             11              0  5ce40bd74764e682  58c2edaaf57d4955
    164              0              0              0  5ce40bd74764e682  69dec4ea5ca91b5b
    165            268             93              0  5ce40bd74764e682  6a635da959fc004c
    166             57              6              0  5ce40bd74764e682  6ebdaf8166a2b79e
    167              8              5              0  5ce40bd74764e682  6f8e9d0dd8d31969
    168           2765           1080              0  5ce40bd74764e682  77efe68b85f16f27
    169            429             60              0  5ce40bd74764e682  7b3fd01b1b423633
    170            108              5              0  5ce40bd74764e682  81b803e970b77e8d
    171             60              6              0  5ce40bd74764e682  89b5f9248bdbc7c0
    172              4              4              0  5ce40bd74764e682  8f9f954074f9d034
    173             55              4              0  5ce40bd74764e682  948f5d570b2deb06
    174             56              5              1  5ce40bd74764e682  95969a7f63489b7b
    175             55              4              0  5ce40bd74764e682  a234c3aa762e0de1
    176            162             14              2  5ce40bd74764e682  b18215b016111a5f
    177              4              4              0  5ce40bd74764e682  b1b0bfb698fddf23
    178            676             85              0  5ce40bd74764e682  b4ff5f7f96a967e5
    179            220             92              1  5ce40bd74764e682  b7c7de1f13217c2a
    180             59              5              0  5ce40bd74764e682  bdbfebc0fe86a173
    181             60              6              0  5ce40bd74764e682  d0851c515fdf9af9
    182            237             75              0  5ce40bd74764e682  d2760c3828840667
    183           2986            195              0  5ce40bd74764e682  d3e83c1ecc1519b0
    184            108              5              0  5ce40bd74764e682  d773bfe276f0eabd
    185              4              4              0  5ce40bd74764e682  d862db858d699bb9
    186              4              4              0  5ce40bd74764e682  e088955c5e7ee679
    187             55              4              0  5ce40bd74764e682  e426aac4d16094b5
    188             55              4              2  5ce40bd74764e682  facc7b9ab4e96681
    189              8              5              0  5ce40bd74764e682  fbddc1b796f91ac0
    190             63              9              2  5ce40bd74764e682  fd4597f8f7038076
    191            548             92              0  5ce40bd74764e682  fe6c61b8444acf3f
    192            695             27              6  62e03459d32f8b40  59d0a482c6cc2805
    193             59              5              2  62e03459d32f8b40  682e09773b860ea3
    194            310              9              4  62e03459d32f8b40  69b5789120c6e6c2
    195             55              4              0  62e03459d32f8b40  6ae613353cead59f
    196         295022         196608           1683  62e03459d32f8b40  a59d1969e2483150
    197          20638           6024            296  62e03459d32f8b40  d9f8b1f759b64fab
    198             57              6              2  68f4d0a6d28757f9  11259e1f984c0efd
    199          23328           3841              5  68f4d0a6d28757f9  12d1401d23a3e099
    200             55              4              0  68f4d0a6d28757f9  1e84d2fa8d1fbae3
    201            391            143              3  68f4d0a6d28757f9  32dbd1adc2349e31
    202           6134           1982             47  68f4d0a6d28757f9  32e86e49af545817
    203              4              4              0  68f4d0a6d28757f9  345b529d5f32c9eb
    204             64              6              0  68f4d0a6d28757f9  35aec04ab06fc532
    205            228             17              0  68f4d0a6d28757f9  35befff6d7b29499
    206             56              5              0  68f4d0a6d28757f9  47d9ad9d6c21292e
    207              9              6              0  68f4d0a6d28757f9  55436d95086e6c94
    208             70             13              1  68f4d0a6d28757f9  5efffe959d1670ca
    209             56              5              1  68f4d0a6d28757f9  72358a3434ea39c1
    210            341             30              0  68f4d0a6d28757f9  74b3e00a7ad6c298
    211              4              4              0  68f4d0a6d28757f9  7784b4ed018792da
    212             56              5              0  68f4d0a6d28757f9  7c771c599b25690d
    213             48              4              2  68f4d0a6d28757f9  9ac356364d5271f8
    214             10              7              0  68f4d0a6d28757f9  ac7da1e784ea8f98
    215          15618           5619              0  68f4d0a6d28757f9  cef8ecddc5546ae1
    216             84             16              1  68f4d0a6d28757f9  e3d21cd27be70168
    217           3403            707              0  68f4d0a6d28757f9  e7877d8440e39dc8
    218             68             11              1  68f4d0a6d28757f9  e9456832eaf43af4
    219          48881          16097            465  68f4d0a6d28757f9  ea46e0de803b47e1
    220             55              4              1  68f4d0a6d28757f9  f65af363d76e8571
    221             55              4              2  6b0c4da997dad4ab  0ec6a8f5b1ab68b0
    222             60              6              1  6b0c4da997dad4ab  17c5b5a4f4e83828
    223             69              9              2  6b0c4da997dad4ab  3d724e25b856238f
    224             55              4              1  6b0c4da997dad4ab  421ed2374bf71fe2
    225             61              7              1  6b0c4da997dad4ab  64cd417d14429b20
    226             65              7              1  6b0c4da997dad4ab  73e93ec59656b03b
    227            169             38              2  6b0c4da997dad4ab  761c8c04688c9d44
    228              5              5              0  6b0c4da997dad4ab  7fc4baa4859e7c5c
    229              4              4              0  6b0c4da997dad4ab  a5bdd34c2b193850
    230             57              6              2  6b0c4da997dad4ab  c037a289b3e4f44e
    231              4              4              0  6b0c4da997dad4ab  d8f4634f8db0063e
    232             55              4              1  6b0c4da997dad4ab  e41dbea8251b308a
    233            167             30              3  6b0c4da997dad4ab  ecf971db7163974d
    234             61              7              2  6b0c4da997dad4ab  ef6d7770a2e3f8c8
    235             72             15              0  71466816e2c73506  0214b5fe71767951
    236         491520         491520           2462  71466816e2c73506  08f9011ef6c2d071
    237          61260          18048            614  71466816e2c73506  0e2097cb845b2f33
    238           2107             81             17  71466816e2c73506  21d15f0552c1756f
    239           1170            288              7  71466816e2c73506  2c3856041e0bc688
    240           1401            240              5  71466816e2c73506  4bf81858f31421dc
    241         525616         250103           2343  71466816e2c73506  635093265953304a
    242           1596            528             13  71466816e2c73506  88b750858fc0952f
    243    2.24289e+06         589824           7207  71466816e2c73506  aca73bf9692e28ac
    244            368            224              2  71466816e2c73506  b37de4063943a88f
    245            551             27              6  71466816e2c73506  da053bc9d2c43a98
    246         287067         178645           1414  71466816e2c73506  dab6b061f59dc80d
    247           1261            192              5  71466816e2c73506  ee50191df0752c65
    248             12             12              3  71466816e2c73506  f44da5e00dc1d3c0
    249         332101         327680           3181  854c199e84091dd2  111ccf34f284dd9b
    250           1412             52              2  854c199e84091dd2  1f9b270dc53721d5
    251         519102         181544           2870  854c199e84091dd2  2e2cbcc8446fafaf
    252    1.22318e+06         565345           7859  854c199e84091dd2  48eafb2f7adbdb53
    253         249619         151145           1829  854c199e84091dd2  664baffc3ca034f3
    254    1.77541e+06         917504           8001  854c199e84091dd2  77964bffddf57e4b
    255            216             12              0  854c199e84091dd2  82b970028d4030c9
    256            110              8              0  854c199e84091dd2  967516b3ee952583
    257            681             18              8  854c199e84091dd2  b08aae8cbf40bfd5
    258         378743         133182           2597  854c199e84091dd2  bcb3d4ea435b7ea0
    259              8              8              1  854c199e84091dd2  cfffadd23d3761ad
    260    3.80644e+06         287120          17463  854c199e84091dd2  e683d613b1669600
    261          47459          12052            637  854c199e84091dd2  e6e4af5c52bd0efb
    263         172000         166876           2412  854c199e84091dd2  efa10f9bdfadd780
    264             59              5              0  86826d1eb5a292a7  012e6e6d1bb7385e
    265              4              4              0  86826d1eb5a292a7  09c55e80b5860553
    266             59              5              0  86826d1eb5a292a7  0af0196ab5bded34
    267             56              5              1  86826d1eb5a292a7  0e5690691a27653d
    268            169             92              0  86826d1eb5a292a7  143af5f183e1fb51
    269             66             30              1  86826d1eb5a292a7  21746f3fc4eafe38
    270              9              6              0  86826d1eb5a292a7  2a963d6032251c9c
    271            312             92              3  86826d1eb5a292a7  2b3a3b42c9eb9d39
    272             56              5              1  86826d1eb5a292a7  3449dc84e2a5c768
    273             60              5              0  86826d1eb5a292a7  3c2fd030e2ac1a2e
    274           4228            931             55  86826d1eb5a292a7  4c2833fa8801527d
    275             10              7              0  86826d1eb5a292a7  51c9c07f28ea9c3c
    276            153             62              1  86826d1eb5a292a7  5fa20ff02bf5ab7b
    277             55              4              1  86826d1eb5a292a7  6329fee5559e3403
    278             55              4              1  86826d1eb5a292a7  72db283388458f97
    279            104             30              1  86826d1eb5a292a7  789aae3c7cbe3513
    280              4              4              0  86826d1eb5a292a7  7c4453de5edf7c57
    281              4              4              0  86826d1eb5a292a7  8179f4bfad5a6c09
    282             66              9              2  86826d1eb5a292a7  847d16f769a2db36
    283             55              4              1  86826d1eb5a292a7  86f88e390047fb88
    284              4              4              0  86826d1eb5a292a7  93a4feafb2e96a78
    285              4              4              0  86826d1eb5a292a7  95d446cebac57981
    286            116             12              3  86826d1eb5a292a7  9aae32d88d80f4f1
    287            526             92              0  86826d1eb5a292a7  9c4cf86877309c94
    288              5              5              0  86826d1eb5a292a7  9c9ce126c983a96d
    289             61              7              2  86826d1eb5a292a7  9fa2536598d18366
    290             55              4              1  86826d1eb5a292a7  a2999ec473c64253
    291            168             30              2  86826d1eb5a292a7  a34e36a3c5fb17e7
    292             55              4              0  86826d1eb5a292a7  a6d97c18de759256
    293            125             17              2  86826d1eb5a292a7  a788866cd57398ab
    294             10              7              0  86826d1eb5a292a7  a8a497cd152bc20b
    295             69              9              1  86826d1eb5a292a7  c538cc7b8c79b88b
    296              4              4              0  86826d1eb5a292a7  c7549216ed6832b4
    297             55              4              1  86826d1eb5a292a7  e1fd0237130172c6
    298              4              4              0  86826d1eb5a292a7  e50ef8abf13cd035
    299            107              5              0  86826d1eb5a292a7  e5155f6fdaa59114
    300             59              5              0  86826d1eb5a292a7  ea65f38ef9dcd6d5
    301             71             14              1  8bc3098a89612f8a  06d38d0cc35c9ea5
    302             67             10              1  8bc3098a89612f8a  1c0bfaa685e1959f
    303              8              8              0  8bc3098a89612f8a  3a71e68a2c440970
    304             79             16              2  8bc3098a89612f8a  4448533de8717c61
    305            259             50              3  8bc3098a89612f8a  5e013386692884a4
    306             61             10              2  8bc3098a89612f8a  c1d14975e19e5a19
    307           4136           1332             44  8bc3098a89612f8a  e55c0c4b7e9d884b
    308           1491            369             15  90bd3749c152f3b8  195041b2fb08d655
    309           8561           1435            125  90bd3749c152f3b8  29e70c4f14c4b5b1
    310              4              4              0  90bd3749c152f3b8  9ab2e830041ad735
    311             55              4              1  90bd3749c152f3b8  b5ed238a4fea20df
    312              4              4              0  90bd3749c152f3b8  c500f9f9a9d97ee1
    313            293             58              4  90bd3749c152f3b8  fee45f6ce75bf90a
    314             79             16              1  9cab38ac2f4342f4  22f14401e63a06c4
    315            157             50              1  9cab38ac2f4342f4  398dc2133b1993e9
    316              8              8              0  9cab38ac2f4342f4  5f0b87579a3af4d8
    317           7346           2278             72  9cab38ac2f4342f4  900b15744be1670c
    318            137             19              3  b61a81f9f450c265  0496946cbe02e42c
    319            176             17              5  b61a81f9f450c265  0bea7169af7e9621
    320             59              5              1  b61a81f9f450c265  0c3806e4b56efd08
    321            235             92              2  b61a81f9f450c265  114a181a3a2c57c6
    322             63             12              1  b61a81f9f450c265  16cf3d71e3053654
    323            129             18              2  b61a81f9f450c265  18dae4a71a0e0461
    324             98             19              1  b61a81f9f450c265  1dfe8140ec04bfa4
    325            119             11              6  b61a81f9f450c265  250089a38662cc6e
    326             55              4              1  b61a81f9f450c265  258402769afaa63d
    327              8              5              0  b61a81f9f450c265  2cb68c4e52735947
    328             59              5              1  b61a81f9f450c265  38fcf9022983bfce
    329           5777           1660             57  b61a81f9f450c265  412591aa8930e901
    330             63             12              3  b61a81f9f450c265  483a053cf1d876ae
    331            107             12              3  b61a81f9f450c265  5a99b463aa577b12
    332            100              5              2  b61a81f9f450c265  65a10768345e6881
    333             59              5              1  b61a81f9f450c265  6ee1f15b399f9148
    334              8              5              0  b61a81f9f450c265  78bb041bd5a6a95f
    335            228             92              1  b61a81f9f450c265  79236a81ec0f86f1
    336             59              5              2  b61a81f9f450c265  86490e7bb26b41f6
    337              8              5              0  b61a81f9f450c265  8b34a73c5936ffce
    338              8              5              0  b61a81f9f450c265  8c89710be65391e9
    339             56              5              1  b61a81f9f450c265  9adfdea03f714f65
    340            227             92              1  b61a81f9f450c265  9da7540a28c94820
    341            365            229              0  b61a81f9f450c265  9db8ef6c97991169
    342             59              5              1  b61a81f9f450c265  9fba308206a131be
    343             59              5              1  b61a81f9f450c265  a873adde4c52ca9f
    344              9              6              0  b61a81f9f450c265  b1698d191623abcd
    345             59              5              1  b61a81f9f450c265  be962c3f0e634f8f
    346             89             15              2  b61a81f9f450c265  c01b736199ddac6c
    347             55              4              1  b61a81f9f450c265  ccb47df77992b7db
    348             59              5              1  b61a81f9f450c265  cf7d3d5eea32dfc1
    349              4              4              0  b61a81f9f450c265  d1b93e9dca5701ce
    350             65             11              2  b61a81f9f450c265  d704eb44dcef4696
    351            212             18              4  b61a81f9f450c265  d7239aede4f5a4e5
    352              8              5              0  b61a81f9f450c265  de92c345d1b910fb
    353            134             19              3  b61a81f9f450c265  df4088cdeb84a3ca
    354            116             13              3  b61a81f9f450c265  e2121ffb97a672f4
    355              8              5              0  b61a81f9f450c265  e5fd553274feb364
    356              8              5              0  b61a81f9f450c265  e90ba612f56cdbf3
    357             59              5              2  b61a81f9f450c265  ebf6023c30f71b58
    358            168             92              0  b61a81f9f450c265  f3d593b5f66107a3
    359            220             92              1  b61a81f9f450c265  f594baadb2cf2477
    360            237             33              5  b61a81f9f450c265  fe0ec751152d6fac
    361           8441           5120              0  c348301f7416695f  5c099f301100e8f0
    362          11787           8316              0  c348301f7416695f  67e1a0ebc37dd704
    363          26954          22528              0  c348301f7416695f  6cc558ef271e3ddb
    364            211             36              0  c348301f7416695f  73ed2c0fcab63ba1
    365            207             40              0  c348301f7416695f  8ca2f6e5a113d6f0
    366           8042           4746              0  c348301f7416695f  fd0ef3c802b62493
    367             66             12              0  c348301f7416695f  fdc0b706f55dd3f5
    368            159             72              1  d1470edcfcbbdff5  47fa12883b60fb2d
    369            120             72              0  d1470edcfcbbdff5  5623ae395ab05e9f
    370            796            408              1  d1470edcfcbbdff5  be22716ba66abeb5
    371             99             48              1  d1470edcfcbbdff5  c5a493f4727b4b04
    372             48             48              0  d1470edcfcbbdff5  db7ad1a415658dca
    373          55145          21401            700  d40d5a05c45484d3  01babfab12f5e921
    375             55              4              0  d40d5a05c45484d3  15c3fc1771a30da2
    377              4              4              0  d40d5a05c45484d3  2b39ffbaff0ace23
    378         244075         115446           1196  d40d5a05c45484d3  3299cc4c30f4c803
    379         262490         163840            994  d40d5a05c45484d3  390f7c7e730f6067
    380         535987         229376           1630  d40d5a05c45484d3  393801e4d9d3fecf
    382            450             96              2  d40d5a05c45484d3  5ca3a9e1f33840ef
    383         100895         100895            537  d40d5a05c45484d3  5fcb21400c3613d5
    384            494              9              8  d40d5a05c45484d3  61a949225c220b88
    385            118             64              2  d40d5a05c45484d3  6d4d650209982957
    386         529442         201424           1324  d40d5a05c45484d3  7f82187afe71e3b4
