============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        11020.3              2           7663  0000000000000000  0000000000000000
      1    1.91197e+06        8100839         167050  0000000000000001  0000000000000001
      2       0.999999              3              0  088f2dd79f2b6b3b  08cf91da18f7875c
      3       0.333333              2              0  088f2dd79f2b6b3b  098495169376ed76
      4           3089           6517             32  088f2dd79f2b6b3b  3bc5bddcaebe0087
      5        89.3332              8              0  088f2dd79f2b6b3b  8897f55f44cc3dd9
      6        3349.33            876            141  088f2dd79f2b6b3b  c3335f406c7a7376
      7    9.10104e+06       11010337         263909  088f2dd79f2b6b3b  e9d722d36e2cd95f
      8       0.666666              5              0  0d7c702adeba68b0  01136ae87d5e1065
      9       0.999999              6              1  0d7c702adeba68b0  162490816833d712
     10       0.666666              8              1  0d7c702adeba68b0  1739b5654d8a08e8
     11       0.666666              3              1  0d7c702adeba68b0  2cb85b2d8f7c5de0
     12            214             40              1  0d7c702adeba68b0  340a9d5a6df147c4
     13       0.666666              8              1  0d7c702adeba68b0  385c789beda8faeb
     14              3             33              1  0d7c702adeba68b0  3c61439fcb85b7d1
     15        1.33333              5              0  0d7c702adeba68b0  6cf94d685504090c
     16       0.666666              7              1  0d7c702adeba68b0  746a32573f3d9aeb
     17       0.999999              7              1  0d7c702adeba68b0  76cb76eaf7376e4b
     18       0.333333              3              1  0d7c702adeba68b0  b0c2b45feaa2ca99
     19       0.999999             11              1  0d7c702adeba68b0  b7e6fce6015f97fb
     20       0.333333              4              1  0d7c702adeba68b0  c221b97b98608c08
     21       0.333333              4              0  0d7c702adeba68b0  e8f417ac367535c5
     22       0.999999              7              1  0ee541192f5e1fac  0d6f3e4a437b32c5
     23        3.33333              7              0  0ee541192f5e1fac  8b374057040a4437
     24        31.3333             70              8  0ee541192f5e1fac  97e862ae595d4113
     25        61.9999              5              1  24625a002a73f09a  002df45e960741fb
     26       0.333333              3              1  24625a002a73f09a  0708aa6592501447
     27        1.66667             15              3  24625a002a73f09a  07fb2f2ab903db08
     28        1.33333              6              0  24625a002a73f09a  0f3e902f286dcc86
     29        3.66666              5              1  24625a002a73f09a  12a45cb52d1e886a
     30            309             97              1  24625a002a73f09a  149303bedffc9414
     31        68.6666              6              0  24625a002a73f09a  22c6cad5ba2f5ee8
     32        61.9999              5              1  24625a002a73f09a  26967053281112df
     33        78.6666             12              2  24625a002a73f09a  26fff31ee2bae32e
     34        75.9999              4              0  24625a002a73f09a  2cfe7b7f05dbb7ae
     35       0.333333              4              1  24625a002a73f09a  32455fd4e515ef92
     36        2.33333             15              1  24625a002a73f09a  3439f44a7c52ade2
     37        108.667             12              1  24625a002a73f09a  385c26f54d4bf2db
     38        24.6666             93              1  24625a002a73f09a  3b1f799dbded8e25
     39        19.6666             94              1  24625a002a73f09a  3cdd1fbb1cec582b
     40        1.33333             11              1  24625a002a73f09a  3d3e3af8f516aea2
     41       0.666666              5              1  24625a002a73f09a  3fd096d1e471e6d1
     42       0.666666              4              1  24625a002a73f09a  42d3f636a3d8cbee
     43       0.333333              3              1  24625a002a73f09a  46ad4a7db6b5d769
     44        75.6666              5              0  24625a002a73f09a  5f7b1fb77245d5d9
     45        8.66666             95              0  24625a002a73f09a  679c9c907e46e2e3
     46              2             24              1  24625a002a73f09a  693c97175c4ba59f
     47       0.333333              4              1  24625a002a73f09a  6bc8ac8bb60d7d68
     48       0.666666              4              1  24625a002a73f09a  717fdf38ff1a426d
     49        68.9999             17              2  24625a002a73f09a  74591c49652800bb
     50        167.666             12              1  24625a002a73f09a  772500a0f8981022
     51       0.666666              7              0  24625a002a73f09a  78bfc3b38b2709a8
     52       0.999999              5              1  24625a002a73f09a  7bf892327847e71f
     53        1.33333             16              3  24625a002a73f09a  8b7da29ced26b63d
     54        15.3333             12              2  24625a002a73f09a  acc2ed1a3ffb6899
     55        78.6666             17              3  24625a002a73f09a  b0a87102fb351d29
     56       0.333333              4              0  24625a002a73f09a  bde07726d7280264
     57        61.6666              3              1  24625a002a73f09a  bf1f00e34a62a94d
     58        88.6666              5              1  24625a002a73f09a  cd62300bdb25f1fe
     59        63.9999             28              3  24625a002a73f09a  cfe5874fc742f988
     60       0.666666              3              1  24625a002a73f09a  e1b0a7e8187d0fb3
     61       0.666666              7              0  24625a002a73f09a  e7575d6ee136fac0
     62       0.333333              4              1  24625a002a73f09a  ee447ed3b9c15a0c
     63        24.6666             98              1  24625a002a73f09a  f3be75233ccd537e
     64        62.6666             15              2  24625a002a73f09a  fd0ee1f9f05a260b
     65        2759.33           1714             20  24625a002a73f09a  fd7b7ee3ac7caffe
     66        166.666             13              1  24625a002a73f09a  ffca6503988b5422
     67        7.33333             63              0  2b9620fa6d7ced34  00dbf95111b336aa
     68        7.99999             58              1  2b9620fa6d7ced34  7ab984134d1a88e9
     69        69.3333             67              1  2b9620fa6d7ced34  817b601e4988cd5e
     70        16.6666            114              0  2b9620fa6d7ced34  be778fee53b32ef6
     71           1037            587              1  2b9620fa6d7ced34  d75d4eb03006e9d4
     72       0.666666              6              1  2ffb6bf2c0b05f55  033f7a29a8be584a
     73        2.66666              4              0  2ffb6bf2c0b05f55  0f14004a1aef5042
     74       0.333333              4              0  2ffb6bf2c0b05f55  1ee17b760e8581a2
