============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          11007              3           7665  0000000000000000  0000000000000000
      1          15779          17411            569  0000000000000001  0000000000000001
      2         333384         923092           4284  0220044f09c4e8a7  a7eeabe305a87a8a
      3        800.999           1427             10  025f416eea54c4dd  743750a5d0441fd6
      4    5.88141e+06        9444659         379223  03e9127d97a76476  9cfea7aa6de62b69
      5        1921.66           1997             43  1b420bfda96e56cf  7f8892916d55d06e
      6        2763.33           2354             38  333668c2c7be375f  b5584423110024a3
      7           2597           3356             60  5025453f21414bd8  8b5757d1700d20a5
      8        3245.33           1873             87  56673ae352a79a23  255602be946f655d
      9        53244.6         195373             12  56c7a5b6155b0eca  670e4e2e439be8fe
     10        817.333            323              9  86bf589defbd36e0  90f179f9ea3993b0
     11        15644.7          30490            200  8ffe4e8d1d0b0b21  f783c975902d756f
     12    9.96322e+06       16782880         267672  93f65a416b8826f1  c0be7664709cce48
     13        5.66666             38              5  a2047e352c122855  fb903b74a30648c9
     14          11056          13572            316  a6a3369af7cb2ed8  99afffecefa65f1e
     15    2.76315e+06        6297143          65581  b917032c13fa40f1  9fe8a512545ed866
     16              0              0            292  befa021a0e0ece74  b7f66480ce9b77f7
     17        1844.33           2602             20  c4005b517378bc57  dcaa2d26acdd9d50
     18        4986.33           4972             69  c8ac793e2d7b2f91  83821671edb04e37
     19        1906.33           6077              9  cd15c7345c0dbfcc  cb78b87a24b00cbe
     20    5.65855e+07       44521643        1167438  d2298b47fa156626  3f680a932b42f3c7
     21         265649         673807           6425  daa89b9ddf774b82  087df67501a417da
     22        1320.67            977             22  e860256c2ee9cd1a  3341612429e1f9d4
     23    1.14475e+06       10494615           2151  e9fe988455e06256  5b8e6b560a45f1c8
     24        2557.66           5438             22  ea50372e01617f2d  2349323fc72709ac
     25         841792         310702          18316  ed7b50640adc3860  ebbc023b95755718
     26        1134.67            295             41  f2867f2d41d0c808  d427009a37cdc53f
