============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        11006.3              3           7664  0000000000000000  0000000000000000
      1        13080.7           6794            420  0000000000000001  0000000000000001
      2          15284          30485            195  0445e6e4169bfc8f  3666226fcc0f36eb
      3        6342.99          37992              9  1601f5cbea11108a  149ae4c83a7afe6f
      4        4253.66           4833             64  17a27d9b3da1dc2e  ee0833915b3e9cbd
      5         145205         251274           1957  209943c9217e5975  21c1bffa03c2b90d
      6        1450.33            976             23  36a8852be33d6213  9ceca75496ab2263
      7        21214.3          39983            453  46f04fdd0c5e76fe  0f996b79cfa70774
      8              0              0            292  4c1aac0c3b1bb23d  c8225a4713106fd2
      9           1664           2599             23  5999f5b201485785  635b0984a218cca2
     10         529871        6297126         114377  62e03459d32f8b40  43779ab9bcbdddff
     11         334565         923161           4277  68f4d0a6d28757f9  cf74201ab31b30e9
     12        796.666            323              8  6b0c4da997dad4ab  3233b1d02c2eaa38
     13    2.87999e+07       31840280         275500  71466816e2c73506  07c5274daf0d290a
     14    1.02573e+08       61844657        1570496  854c199e84091dd2  c72d41a7d5a049e9
     15           1850           1998             48  86826d1eb5a292a7  7989b804fd9e3e0c
     16        969.666           1427             14  8bc3098a89612f8a  fc9f7974ac9f5ef8
     17           3220           1876             88  90bd3749c152f3b8  886e1d1118d9684b
     18        2844.66           2354             35  9cab38ac2f4342f4  0c10391042f31a9c
     19           2312           3361             59  b61a81f9f450c265  a23f2493b55783a6
     20        5713.66          36574             19  c348301f7416695f  20c4cbd821b2a688
     21        2628.33           5437             24  d1470edcfcbbdff5  0033e493fa9c2e97
     22    1.21922e+07       14296474         224294  d40d5a05c45484d3  2b7369e3cc63ed13
     23        8808.66           2196            381  d4106ff516ff8b61  9b0ed8ecf5bdec51
     24    3.16834e+06           9179           2215  d5ae720e65ee268f  6238fbad8959b421
     25    5.87928e+06        9444677         379168  d9634f2585ecce47  cc1afe2224cc4ee9
     26        670.333            189             42  e0b4b324dcf25ee6  f257892c2a8eb46b
     27        10783.7          13569            334  fab9d0843aa070d5  c32d950f215628ca
