============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          11020              2           7664  0000000000000000  0000000000000000
      1        5141.99           4819            103  0000000000000001  0000000000000001
      2    5.87959e+06        9444582         379135  088f2dd79f2b6b3b  004693ccd5153e21
      3        151.667            323              9  0d7c702adeba68b0  0ca07d2ef4b7896c
      4        440.666             50              6  0ee541192f5e1fac  bac04b62a4e1a502
      5           3688           5074            114  24625a002a73f09a  1703089551e4db37
      6           2639           6035             29  2b9620fa6d7ced34  8b8d30d8d3c98769
      7           1744           3705             36  2ffb6bf2c0b05f55  5cb1f6e3cf0b15d9
      8        1052.67           1430             11  58ec2efa4130e1e4  5b1320b63da2556c
      9           1382           1023             21  6a383e2c9a861969  412dfc75f95d7d8f
     10    5.01161e+07      109097280        2583635  6ac1ca4e11a5dfc8  477fde60b58e4524
     11        2018.33           1996             44  83a6cf791a413035  56ecdec7a500b0ad
     12    3.00564e+06          47299           5826  8d4073c2ec89499d  e856bd06d1a58289
     13        8188.99           4959            147  94e9088d31c55e2b  d1a1a9b7df86d214
     14        661.999            190             36  956a14055c3755fc  9581cae376e0be7e
     15              0              0            292  9b1bbce6343b2b13  8f613bb95e4bc330
     16        3851.33           1971             87  a680d4defa9fb1eb  4e10002ef116e1b2
     17        93883.9         465470         114468  a70f3db9ea1ed503  6da3075b6e7dce12
     18         333716         921983           4249  be4164d9352c097e  abf5161babc65450
     19        1780.66           2635             25  becce515d969c14c  79c313133b6ae51e
     20    9.87289e+08      850960683       81194550  c715cc4af0a09a81  9d1b025580fe2134
     21          18105          36092            183  ed8779112a4c4236  26ef98170f8e76cc
     22        11494.7          13742            333  ef966cef255cd38c  fd92c3c76f8145f1
     23           3657           1286             78  fee3024c270d88c4  b829e31f72f7482c
