============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        11007.3              2           7664  0000000000000000  0000000000000000
      1        15774.3          17706            417  0000000000000001  0000000000000001
      2           1090           1515             10  07823fdfb6f9703f  bc5247273ccac7e2
      3        546.999            196             31  13b4b854f95f0cfc  542bbff3a016636f
      4        5.66666             38              9  142e3c15e7284896  840f7f93ca9cdd50
      5           1896           3873             37  1f4a9263108c8b1c  56ffe8af091f5630
      6        2748.33           3360             59  24c61b1311617a77  d841b2c232a06814
      7           1802           2582             24  24f82a999779fe7b  8a96e2f9fda4b95d
      8    5.87989e+06        9444574         379232  2d68c968587baf69  1c43f448353d4570
      9          11736          13604            367  32c892500998ca34  15a2b00f5e818d99
     10        1777.33           2093             46  3543eeedf265e4f4  c8a2e2faa2d2fe64
     11    2.83707e+06           3391            800  3d8b290fff3076a2  3381c7f207c0af7e
     12        93710.9         465471         114339  51785cbe8d6ec54c  7f18e5aaf4e12d8d
     13        823.666            977             22  533298ba3a680117  2bace052563a3839
     14        2156.33           1498             39  536d3d7c2bdee2a7  47a46be09933025c
     15        29.6666             40              1  606010c8ec6a9072  a694bfd94a0ffb52
     16        273.666            326              8  837253fd8f3aa030  039371e88a332391
     17           3123           1873             89  8eb9f63f20ce977b  4d8ead9d3e862f83
     18        22551.6          22048           1801  ad60e8b8c126aee1  1cc233173a9c3be8
     19        15918.7          33384            200  b8389ad815922221  983bc884648d5188
     20           3057           2986             35  c4cdbec695f30792  591e90aef74aa3fd
     21              0              0            292  ca0cf8060ff7f195  3f3e18ac522a8111
     22         340645         922500           4352  d5b61d6063e46095  8f7f474df5035a95
     23        2860.66           5723             27  d88e2ea4d6df2a30  36f8f7df3eac43ec
     24    4.35289e+08      538622701       18123607  da673d424a4ab168  2239f0ca97939eb0
     25        1936.66           6077             11  f0696e0967ea2fc7  803cb6198e02548f
