============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          11007              2           7664  0000000000000000  0000000000000000
      1         315160         900040           3379  0000000000000001  0000000000000001
      2       0.666666              3              0  0220044f09c4e8a7  05f87fc635d6c6e0
      3       0.999999              3              0  0220044f09c4e8a7  072796301be2df55
      4       0.333333              3              0  0220044f09c4e8a7  26e29df689c2f163
      5       0.666666              8              1  0220044f09c4e8a7  276c743a189832c8
      6       0.999999              4              1  0220044f09c4e8a7  36c91bd858ad2e34
      7       0.333333              2              1  0220044f09c4e8a7  392e060efc942194
      8            133            150              3  0220044f09c4e8a7  407e662b52cd4073
      9        1.66667              8              1  0220044f09c4e8a7  42e0fc8d58baa76f
     10       0.666666              8              0  0220044f09c4e8a7  4313c94e7e5856ab
     11       0.999999              5              1  0220044f09c4e8a7  4eef3644f6dacb53
     12        6.66666              6              0  0220044f09c4e8a7  5ebeedb244c73a01
     13        11506.7          16093            199  0220044f09c4e8a7  62abd93511ec7d65
     14        1.66667             13              1  0220044f09c4e8a7  7de16b8322855d82
     15        7099.99           3706            146  0220044f09c4e8a7  817d63ced9151225
     16       0.666666              6              1  0220044f09c4e8a7  89270d82b3a7fdd1
     17           1607           5580             26  0220044f09c4e8a7  9622a7c4cf47d75e
     18        1110.33           1983             17  0220044f09c4e8a7  9ee9f983c10a0455
     19              2             18              2  0220044f09c4e8a7  b389818f5d385a45
     20       0.333333              3              1  0220044f09c4e8a7  bc3f847fe7fccdea
     21        1214.33            712              3  0220044f09c4e8a7  bf798446a380da8d
     22        3.33333             17              2  0220044f09c4e8a7  cd0043f39f101837
     23        75.6666              5              1  0220044f09c4e8a7  ce11c87fc8f13ee2
     24        3.33333             36              1  0220044f09c4e8a7  f549c08d991b7e23
     25        2.66666             14              1  025f416eea54c4dd  044066d7bc2b7218
     26       0.999999              8              1  025f416eea54c4dd  21928132419b51d6
     27       0.666666              7              0  025f416eea54c4dd  4f631981989dd079
     28        1.33333             10              1  025f416eea54c4dd  60869d558f618d84
     29        847.999           1338              7  025f416eea54c4dd  958b8afabed5ec8f
     30        5.66666             48              1  025f416eea54c4dd  be3a46e9d06ed236
     31        1.33333             13              1  025f416eea54c4dd  cb2e78ed9c995acb
     32        460.333            913             10  03e9127d97a76476  20ea678d3409b6e9
     33       0.333333              3              0  03e9127d97a76476  212e684dfdbd069b
     34        210.333            356              4  03e9127d97a76476  3158b57c543df29e
     35        3405.66           6558             31  03e9127d97a76476  530f5126bfdf5ded
     36        95.9999              8              0  03e9127d97a76476  902b1e2ba6345474
     37       0.999999              3              0  03e9127d97a76476  de07aaeb928d4a24
     38       0.333333              3              1  1b420bfda96e56cf  0c87674dc451f833
     39       0.333333              3              1  1b420bfda96e56cf  1e426020f3305b64
     40       0.666666              7              0  1b420bfda96e56cf  25762da7286a79b6
     41        418.333             94              0  1b420bfda96e56cf  294f4d219810b40d
     42       0.666666              5              1  1b420bfda96e56cf  2958547fdf566246
     43       0.666666              5              1  1b420bfda96e56cf  2e0ca7b72f5de04c
     44       0.333333              3              0  1b420bfda96e56cf  3d22a3e2386ca315
     45        18.3333              4              0  1b420bfda96e56cf  4ac18cfeb3313e8b
