============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        11415.7              0           7544  0000000000000000  0000000000000000
      1          41106          54921            726  0000000000000001  0000000000000001
      2        3.66666              5              1  04c9742eeb73ebb9  02932c03dd473c4f
      3       0.666666              7              1  04c9742eeb73ebb9  0b58c65ec64983d0
      4       0.333333              3              0  04c9742eeb73ebb9  294e26cef3a7816e
      5       0.333333              2              0  04c9742eeb73ebb9  2dc39cf6873d4d15
      6            251              4              0  04c9742eeb73ebb9  345380275c1cdde0
      7        83.3332              5              1  04c9742eeb73ebb9  417300b2bf550df7
      8       0.666666              4              1  04c9742eeb73ebb9  434825ee36c645ef
      9       0.666666              6              1  04c9742eeb73ebb9  66c147ac4626c17f
     10        1.33333             13              4  04c9742eeb73ebb9  685238ec5b14e1c1
     11       0.333333              4              0  04c9742eeb73ebb9  6d1518953f44cda8
     12        9.66666             25              4  04c9742eeb73ebb9  6ebcfdfc10638d2e
     13       0.666666              5              0  04c9742eeb73ebb9  7a321591daa3976d
     14        2.33333             20              7  04c9742eeb73ebb9  84e572d2bfd4b10b
     15       0.333333              3              1  04c9742eeb73ebb9  8a12375ea71cc4ab
     16       0.666666              7              0  04c9742eeb73ebb9  b21499b981427028
     17        1.33333              7              1  04c9742eeb73ebb9  d024cbb9f44b3cb9
     18        1.33333             13              2  04c9742eeb73ebb9  d4e57c57bdb7808c
     19        1.33333              5              1  04c9742eeb73ebb9  d5bbbf0e638b05a2
     20       0.999999              6              1  04c9742eeb73ebb9  ea03b87328d32a45
     21        4.33333              6              1  04c9742eeb73ebb9  ef565a94bc25ff06
     22           1432           3095             28  1abf1abf821c8356  0653dc3bd2c031c7
     23       0.333333              4              1  1abf1abf821c8356  087f64ea81e0f355
     24              3             33              1  1abf1abf821c8356  094784c53f53aa9b
     25           1999            964             22  1abf1abf821c8356  0be287dbc8ffbf46
     26       0.333333              3              0  1abf1abf821c8356  1602a9c4fafdbfd5
     27       0.999999             10              1  1abf1abf821c8356  171df344cbe973f4
     28        1.33333              4              0  1abf1abf821c8356  1bfab7a6a54a1fc0
     29       0.999999              7              1  1abf1abf821c8356  1c9a1c8b39544e62
     30        1.66667              3              1  1abf1abf821c8356  266d61baabcb8326
     31        300.666             26              3  1abf1abf821c8356  31cef01719163637
     32        21.6666             82              1  1abf1abf821c8356  3304613ffd6dc2b5
     33        246.333             88              1  1abf1abf821c8356  371f6f0d86987397
     34        64.3333             10              1  1abf1abf821c8356  3a41c9b681fc5aa6
     35        5.66666              8              1  1abf1abf821c8356  43e228150d130572
     36       0.999999              9              1  1abf1abf821c8356  4c131c6f4440f3be
     37       0.999999              5              0  1abf1abf821c8356  5a95056b74012b76
     38       0.666666              4              1  1abf1abf821c8356  5c510747ae74fa66
     39        154.333             43              3  1abf1abf821c8356  79d21dcfb5a0a2f0
     40        161.333             26              0  1abf1abf821c8356  7f1ab83e478e01c8
     41       0.666666              6              0  1abf1abf821c8356  83d5a28d3b681586
     42        2.66666             31              1  1abf1abf821c8356  8bf50046f5527a95
     43        18.6666             31              0  1abf1abf821c8356  8d360ac3fd321739
     44        74.6666             11              1  1abf1abf821c8356  8ebca8422d898b57
     45       0.666666              4              0  1abf1abf821c8356  8ee9ac433182bb69
     46       0.333333              3              1  1abf1abf821c8356  95f9562ff43ea501
     47        2817.66            746             77  1abf1abf821c8356  9bcb57d7d89ff317
     48        71.6666              6              0  1abf1abf821c8356  9f09f737ad6b44ea
     49              2              7              1  1abf1abf821c8356  a2e90430bca83293
     50       0.333333              3              1  1abf1abf821c8356  a318051b429cc3a0
     51              0              0              1  1abf1abf821c8356  bd4047df56af28f2
     52       0.666666              7              1  1abf1abf821c8356  c093518b14fda634
