============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          34248              1          12611  0000000000000000  0000000000000000
      1         161908          54947           1538  0000000000000001  0000000000000001
      2             52              5              1  04c9742eeb73ebb9  02932c03dd473c4f
      3             55              4              1  04c9742eeb73ebb9  0b58c65ec64983d0
      4             12              5              0  04c9742eeb73ebb9  294e26cef3a7816e
      5              4              4              0  04c9742eeb73ebb9  2dc39cf6873d4d15
      6              4              4              0  04c9742eeb73ebb9  345380275c1cdde0
      7             48              4              1  04c9742eeb73ebb9  417300b2bf550df7
      8             78              4              1  04c9742eeb73ebb9  434825ee36c645ef
      9             55              4              1  04c9742eeb73ebb9  66c147ac4626c17f
     10            113             14              5  04c9742eeb73ebb9  685238ec5b14e1c1
     11              4              4              0  04c9742eeb73ebb9  6d1518953f44cda8
     12            124             27              4  04c9742eeb73ebb9  6ebcfdfc10638d2e
     13              4              4              0  04c9742eeb73ebb9  7a321591daa3976d
     14            179             22             10  04c9742eeb73ebb9  84e572d2bfd4b10b
     15             55              4              2  04c9742eeb73ebb9  8a12375ea71cc4ab
     16              8              5              0  04c9742eeb73ebb9  b21499b981427028
     17             67              7              1  04c9742eeb73ebb9  d024cbb9f44b3cb9
     18            121             13              2  04c9742eeb73ebb9  d4e57c57bdb7808c
     19             59              5              1  04c9742eeb73ebb9  d5bbbf0e638b05a2
     20             67              7              1  04c9742eeb73ebb9  ea03b87328d32a45
     21             60              6              2  04c9742eeb73ebb9  ef565a94bc25ff06
     22           9154           3096             80  1abf1abf821c8356  0653dc3bd2c031c7
     23             48              4              1  1abf1abf821c8356  087f64ea81e0f355
     24             68             30              2  1abf1abf821c8356  094784c53f53aa9b
     25           3817            957             44  1abf1abf821c8356  0be287dbc8ffbf46
     26              4              4              0  1abf1abf821c8356  1602a9c4fafdbfd5
     27             71             11              1  1abf1abf821c8356  171df344cbe973f4
     28              4              4              0  1abf1abf821c8356  1bfab7a6a54a1fc0
     29             61              7              1  1abf1abf821c8356  1c9a1c8b39544e62
     30             55              4              1  1abf1abf821c8356  266d61baabcb8326
     31            204             23              4  1abf1abf821c8356  31cef01719163637
     32            362             80              5  1abf1abf821c8356  3304613ffd6dc2b5
     33            213             89              2  1abf1abf821c8356  371f6f0d86987397
     34            110              9              2  1abf1abf821c8356  3a41c9b681fc5aa6
     35             11              8              1  1abf1abf821c8356  43e228150d130572
     36             61              7              2  1abf1abf821c8356  4c131c6f4440f3be
     37              5              5              0  1abf1abf821c8356  5a95056b74012b76
     38             55              4              1  1abf1abf821c8356  5c510747ae74fa66
     39            233             38              3  1abf1abf821c8356  79d21dcfb5a0a2f0
     40            163             30              2  1abf1abf821c8356  7f1ab83e478e01c8
     41              4              4              0  1abf1abf821c8356  83d5a28d3b681586
     42             93             29              1  1abf1abf821c8356  8bf50046f5527a95
     43             52             30              0  1abf1abf821c8356  8d360ac3fd321739
     44             65             12              1  1abf1abf821c8356  8ebca8422d898b57
     45              4              4              0  1abf1abf821c8356  8ee9ac433182bb69
     46             55              4              1  1abf1abf821c8356  95f9562ff43ea501
     47           5771            864            103  1abf1abf821c8356  9bcb57d7d89ff317
     48             10              7              0  1abf1abf821c8356  9f09f737ad6b44ea
     49             67              7              1  1abf1abf821c8356  a2e90430bca83293
     50             56              5              1  1abf1abf821c8356  a318051b429cc3a0
     51              0              0              1  1abf1abf821c8356  bd4047df56af28f2
     52             61              7              1  1abf1abf821c8356  c093518b14fda634
     53              4              4              0  1abf1abf821c8356  c3274fc67ec15007
     54             56              5              1  1abf1abf821c8356  c3bda0a93f8ed779
     55           3588            981             35  1abf1abf821c8356  c880cfcdb6846068
     56             71             11              2  1abf1abf821c8356  dcfc6e6079666580
     57              4              4              0  1abf1abf821c8356  e475defe42161428
     58              0              0              0  1abf1abf821c8356  e4c04cea706b963a
