============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0           1624              3              0  0000000000000000  0000000000000000
      1    3.27718e+06       19331596          60066  0000000000000001  0000000000000001
      2        1.33333              7              1  11800da8c7d7c67d  01b5049143c0debb
      3       0.666666              4              0  11800da8c7d7c67d  02dd6912d6a6c0f9
      4       0.333333              2              0  11800da8c7d7c67d  088b92a44a4f8ed4
      5    1.06718e+08      839718585             92  11800da8c7d7c67d  0d6e7a9475b06aee
      6        6139.33           1758            185  11800da8c7d7c67d  0e2c5e294f44582b
      7       0.999999             12              1  11800da8c7d7c67d  120fb9bb42db832a
      8           1863            569            104  11800da8c7d7c67d  15399f6c3106a313
      9       0.666666              4              2  11800da8c7d7c67d  19d9fec3fcb67070
     10       0.333333              3              2  11800da8c7d7c67d  1ebd1632dca1271b
     11       0.333333              4              1  11800da8c7d7c67d  2b91031ef4679f79
     12           2827           1444             93  11800da8c7d7c67d  2ff91333601ba3f0
     13        8.33332             42              4  11800da8c7d7c67d  385701a91146e8f7
     14       0.666666              7              0  11800da8c7d7c67d  3e8fc1361e7fc071
     15        41506.3             25              2  11800da8c7d7c67d  43b034d4fe864f10
     16       0.666666              2              1  11800da8c7d7c67d  443e8c99b203e33c
     17        57496.6         124720            951  11800da8c7d7c67d  451fe2d2c5828350
     18       0.333333              4              0  11800da8c7d7c67d  46fdc023c4633d36
     19        5832.99           1200            216  11800da8c7d7c67d  4752dfbfeee5ec96
     20        61.6666              6              0  11800da8c7d7c67d  509c13ab7c1c11d5
     21    2.38805e+06        4244975          97739  11800da8c7d7c67d  524ae4ff7fb4d7fe
     22       0.666666              3              1  11800da8c7d7c67d  556aefe2e2c8fb82
     23        1.33333              6              0  11800da8c7d7c67d  5b8d69d3ea14f200
     24        2476.33           9026           2624  11800da8c7d7c67d  5e5d1fc3d7b59caf
     25        1.33333              4              2  11800da8c7d7c67d  6165f5ec8302b994
     26        2.33333              4              0  11800da8c7d7c67d  6a778d00a04e392f
     27        72116.6          76805           1460  11800da8c7d7c67d  6d4e363d93bdf91b
     28       0.333333              3              1  11800da8c7d7c67d  6df6cba1b3d250b8
     29    5.52717e+06        8973318         427369  11800da8c7d7c67d  6ff4a5c43e4fdfa3
     30        1347.33            827              1  11800da8c7d7c67d  74264065df65c967
     31              2             21              1  11800da8c7d7c67d  79401150b08da5a8
     32       0.666666              3              1  11800da8c7d7c67d  80dcecf2af027111
     33       0.666666              4              0  11800da8c7d7c67d  824134ef511da03f
     34          14340         142682           2341  11800da8c7d7c67d  843d914e92a4e15b
     35    1.40017e+08      842043977         119052  11800da8c7d7c67d  901c7fe344ad7bcb
     36       0.999999             11              1  11800da8c7d7c67d  9ae128a3937d4228
     37        261.333            927              0  11800da8c7d7c67d  9cdc27dd9d50476c
     38     1.6157e+06       10730286         199718  11800da8c7d7c67d  9ee6ff843a29b355
     39       0.333333              2              0  11800da8c7d7c67d  b04f4f3bf7ad2e0f
     40       0.666666              2              1  11800da8c7d7c67d  b22906673ca92bf6
     41        399.666            115              2  11800da8c7d7c67d  b579862d7b9c6295
     42         592625        1492493          37596  11800da8c7d7c67d  b79c3aca8e6374bf
     43       0.333333              3              0  11800da8c7d7c67d  b82d2284f1ddb446
     44        45041.6            829            204  11800da8c7d7c67d  bb8586da14671068
     45       0.666666              4              1  11800da8c7d7c67d  bf815a96a399574c
     46       0.666666              3              2  11800da8c7d7c67d  c70a9a4eb35a4133
     47       0.333333              4              1  11800da8c7d7c67d  cbc5396cebbb9769
     48          45132         116939           3941  11800da8c7d7c67d  d580c52b716c4f9e
     49        4252.66           1625            171  11800da8c7d7c67d  db544f9fc2faf382
     50       0.333333              4              1  11800da8c7d7c67d  def6ede815462248
     51       0.333333              2              1  11800da8c7d7c67d  dfa2550f36d0e6ed
     52       0.666666              5              0  11800da8c7d7c67d  e0cd89409f135d13
     53       0.666666              4              1  11800da8c7d7c67d  ec1c50d268f7b61d
     54       0.666666              6              1  11800da8c7d7c67d  f131c77f52ff765e
     55       0.333333              3              0  11800da8c7d7c67d  f246b5ebedc2d7bf
     56       0.333333              2              0  11800da8c7d7c67d  f773a17562c01e51
     57        8022.99           3348            172  11800da8c7d7c67d  fe2c76ae8390b89c
     58        1530.33           1241             17  11800da8c7d7c67d  ff140a4ae4831743
     59        15358.7          26568              0  787d33b1db2c1ebc  23f353f088f82f54
     60       0.666666              5              0  787d33b1db2c1ebc  61fae25bf93cf04e
     61        1.66667              7              1  787d33b1db2c1ebc  6ad1ac7769b57f8d
     62        73445.3          91457           1806  787d33b1db2c1ebc  7304e79bd97d3031
     63        32234.3          71800              2  787d33b1db2c1ebc  853f8dce00317211
     64        3816.66            795            123  787d33b1db2c1ebc  90d8aba93557c538
     65        5761.33           6853             62  787d33b1db2c1ebc  a8edeb4c37800bbb
     66          30359          37804             72  787d33b1db2c1ebc  ae3fe09d57025b9c
     67          24675          36018          81640  787d33b1db2c1ebc  dc9f05de5a84c862
     68        344.333              9              4  787d33b1db2c1ebc  e07ce6b913adbba7
     69         822107        1243850          37172  787d33b1db2c1ebc  f439f0b3b7a90aa6
