============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        1624.67              4              0  0000000000000000  0000000000000000
      1     4.7838e+07      312525108        1044551  0000000000000001  0000000000000001
      2       0.333333              4              1  4306d2e86dc2ee69  03b9e3e806755997
      3          35281             27              1  4306d2e86dc2ee69  05f7b01753eee39a
      4        1357.67           1257             20  4306d2e86dc2ee69  0bf4ae0804df8f20
      5       0.999999              5              2  4306d2e86dc2ee69  0d924f0c8a944194
      6    1.99041e+09    13464023657        2062121  4306d2e86dc2ee69  144bbc142dd5b43e
      7        362.333            990              1  4306d2e86dc2ee69  1bc231ccda0fc810
      8        5442.33           1182            216  4306d2e86dc2ee69  1c8b71e7a91ffddd
      9        73140.3          79213           1470  4306d2e86dc2ee69  25370d1d38e8a7b6
     10       0.333333              3              2  4306d2e86dc2ee69  2ea2fcef5036f573
     11        1.33333              4              1  4306d2e86dc2ee69  35d6529641cd61be
     12    1.29429e+06        1995733          29015  4306d2e86dc2ee69  382822a519796f85
     13        39234.6           1225            262  4306d2e86dc2ee69  3ad2554517bda8f8
     14              5             23              1  4306d2e86dc2ee69  3c17a9327ae7f061
     15       0.999999              4              1  4306d2e86dc2ee69  4106697feff3ff58
     16           1382            842              1  4306d2e86dc2ee69  41f75e64e6fa8155
     17        10770.3           3629            220  4306d2e86dc2ee69  43f8148641b9152e
     18       0.999999              5              1  4306d2e86dc2ee69  478152fccedbadb5
     19        2347.66           9904           2274  4306d2e86dc2ee69  502e6d44d3d50b43
     20    1.00958e+08      143804606        7527784  4306d2e86dc2ee69  544a175020a9a33b
     21       0.666666              2              1  4306d2e86dc2ee69  58b93faaae5c8b63
     22       0.999999              5              0  4306d2e86dc2ee69  6777d285d2c2a7db
     23        5480.66           2122            205  4306d2e86dc2ee69  6ad94731385b98f1
     24        98.6666              4              0  4306d2e86dc2ee69  6f632cd8b0c66a7b
     25       0.333333              4              0  4306d2e86dc2ee69  7043fdfa4114b465
     26    2.58503e+07      171677963        3540891  4306d2e86dc2ee69  72b6e94d530ab0a9
     27    4.42009e+07       68857187        1135876  4306d2e86dc2ee69  73917d1a32008d43
     28       0.333333              3              1  4306d2e86dc2ee69  76047cec03c84014
     29       0.666666              2              1  4306d2e86dc2ee69  7699574007a84529
     30       0.333333              3              2  4306d2e86dc2ee69  7c16cca6d6c0b927
     31        1.66667             14              1  4306d2e86dc2ee69  830903accaff194f
     32       0.666666              3              0  4306d2e86dc2ee69  8f7ed44c6c032bac
     33       0.333333              3              1  4306d2e86dc2ee69  93b49ec621666a99
     34       0.666666              4              0  4306d2e86dc2ee69  94fe7c0e80b18cda
     35       0.999999              4              0  4306d2e86dc2ee69  952f8b1f13435222
     36       0.666666              4              0  4306d2e86dc2ee69  99390a09c63a1414
     37         622857        1852456          58101  4306d2e86dc2ee69  9ad417d411b6f168
     38       0.333333              4              0  4306d2e86dc2ee69  9d36532a45c63493
     39     1.6892e+07       39697233          11518  4306d2e86dc2ee69  a38ad7ef94144a3e
     40        7887.99           3391            171  4306d2e86dc2ee69  a6f507e21c6e5a9c
     41        813.333            116              2  4306d2e86dc2ee69  a7761785c6b2b267
     42        3.33333              2              1  4306d2e86dc2ee69  ab3333fcd253f6d6
     43       0.666666              3              0  4306d2e86dc2ee69  afe305a3063eb829
     44       0.666666              8              2  4306d2e86dc2ee69  ba5363830f07db83
     45        186.333              4              1  4306d2e86dc2ee69  bddf517bfe475949
     46       0.666666              8              1  4306d2e86dc2ee69  bf9b05cb93d28189
     47        971.332            491             82  4306d2e86dc2ee69  c20e2b4ec1fd3c05
     48       0.999999              5              0  4306d2e86dc2ee69  c4a0db83e0a32dba
     49        1.66667              2              1  4306d2e86dc2ee69  c4dcf80a5b9d1efb
     50       0.333333              2              2  4306d2e86dc2ee69  d478e86c9e83c8bd
     51    2.06385e+09    14342869532            183  4306d2e86dc2ee69  e083a8de005d8b0b
     52       0.666666              4              0  4306d2e86dc2ee69  e2a746c1b136ac15
     53       0.333333              3              0  4306d2e86dc2ee69  e40ab93a908adb5f
     54       0.999999             11              2  4306d2e86dc2ee69  ea5d4002db320c68
     55        2543.66           1177             69  4306d2e86dc2ee69  ed8cd29c724a65fc
     56         225532        2259719          41010  4306d2e86dc2ee69  fb2c0dd2b4f075cf
     57        8.33332             43              3  4306d2e86dc2ee69  fbe7ff048e8edb18
     58       0.666666              7              0  4306d2e86dc2ee69  fc39c2bd179e28c0
     59    1.48043e+06        2316206          28940  b37b183445c96596  011d2a5e7b19a5ee
     60    1.96755e+06        2373549          28501  b37b183445c96596  0abcee64fc570d70
     61    4.78957e+06        5847355          89903  b37b183445c96596  0b8b4f34aabd7eb0
     62        3568.66            798            117  b37b183445c96596  24b1019ffde88caa
     63    6.22756e+07       87809230        2064772  b37b183445c96596  2e930d38ea32691b
     64       0.666666              5              1  b37b183445c96596  3001b6fb84d61850
     65    2.02891e+06        4600450              1  b37b183445c96596  4c887614dd02f590
     66        168.666              9              6  b37b183445c96596  5a64f7ba7a51f79f
     67         976094        1688536              2  b37b183445c96596  675726f7a60715aa
     68        3629.66           6466             70  b37b183445c96596  a5a6044a4c07d484
     69              2              9              1  b37b183445c96596  c52183c2bc48e9e5
