============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0           4862              3              0  0000000000000000  0000000000000000
      1    3.76694e+08      374542035         545066  0000000000000001  0000000000000001
      2             55              4              1  4306d2e86dc2ee69  03b9e3e806755997
      3             85             24              4  4306d2e86dc2ee69  05f7b01753eee39a
      4           3854           1262             30  4306d2e86dc2ee69  0bf4ae0804df8f20
      5             80              4              2  4306d2e86dc2ee69  0d924f0c8a944194
      6    2.32304e+10    13450731868        2600010  4306d2e86dc2ee69  144bbc142dd5b43e
      7           1758            988              1  4306d2e86dc2ee69  1bc231ccda0fc810
      8          13540           1297            215  4306d2e86dc2ee69  1c8b71e7a91ffddd
      9         219433          79203           1727  4306d2e86dc2ee69  25370d1d38e8a7b6
     10             65              4              1  4306d2e86dc2ee69  2ea2fcef5036f573
     11            113              8              4  4306d2e86dc2ee69  35d6529641cd61be
     12    4.96942e+06        1966832          56893  4306d2e86dc2ee69  382822a519796f85
     13          11847           1213            332  4306d2e86dc2ee69  3ad2554517bda8f8
     14             91             21              2  4306d2e86dc2ee69  3c17a9327ae7f061
     15             65              4              2  4306d2e86dc2ee69  4106697feff3ff58
     16           1660            840              1  4306d2e86dc2ee69  41f75e64e6fa8155
     17          21736           3588              0  4306d2e86dc2ee69  43f8148641b9152e
     18             65              4              2  4306d2e86dc2ee69  478152fccedbadb5
     19           9831           9471           3561  4306d2e86dc2ee69  502e6d44d3d50b43
     20     5.2984e+08      140924288       21627351  4306d2e86dc2ee69  544a175020a9a33b
     21             68              7              2  4306d2e86dc2ee69  58b93faaae5c8b63
     22              4              4              0  4306d2e86dc2ee69  6777d285d2c2a7db
     23          10195           2122            182  4306d2e86dc2ee69  6ad94731385b98f1
     24              8              5              0  4306d2e86dc2ee69  6f632cd8b0c66a7b
     25              4              4              0  4306d2e86dc2ee69  7043fdfa4114b465
     26    3.31955e+08      182372608        3599238  4306d2e86dc2ee69  72b6e94d530ab0a9
     27    2.54004e+08       53882816        1367384  4306d2e86dc2ee69  73917d1a32008d43
     28              5              5              1  4306d2e86dc2ee69  76047cec03c84014
     29              4              4              1  4306d2e86dc2ee69  7699574007a84529
     30             58              4              2  4306d2e86dc2ee69  7c16cca6d6c0b927
     31             73             12              2  4306d2e86dc2ee69  830903accaff194f
     32              4              4              0  4306d2e86dc2ee69  8f7ed44c6c032bac
     33             67              6              2  4306d2e86dc2ee69  93b49ec621666a99
     34              4              4              0  4306d2e86dc2ee69  94fe7c0e80b18cda
     35              8              5              0  4306d2e86dc2ee69  952f8b1f13435222
     36              5              5              0  4306d2e86dc2ee69  99390a09c63a1414
     37    3.71425e+06        1852411          57717  4306d2e86dc2ee69  9ad417d411b6f168
     38              4              4              0  4306d2e86dc2ee69  9d36532a45c63493
     39    7.12363e+06        3771959          20096  4306d2e86dc2ee69  a38ad7ef94144a3e
     40          18246           3386            238  4306d2e86dc2ee69  a6f507e21c6e5a9c
     41            371            118              2  4306d2e86dc2ee69  a7761785c6b2b267
     42             55              4              1  4306d2e86dc2ee69  ab3333fcd253f6d6
     43              4              4              0  4306d2e86dc2ee69  afe305a3063eb829
     44             67              6              1  4306d2e86dc2ee69  ba5363830f07db83
     45             65              4              2  4306d2e86dc2ee69  bddf517bfe475949
     46              6              6              0  4306d2e86dc2ee69  bf9b05cb93d28189
     47           4025            478            120  4306d2e86dc2ee69  c20e2b4ec1fd3c05
     48              6              6              0  4306d2e86dc2ee69  c4a0db83e0a32dba
     49             65              4              1  4306d2e86dc2ee69  c4dcf80a5b9d1efb
     50             65              4              2  4306d2e86dc2ee69  d478e86c9e83c8bd
     51    2.44667e+10    14301395363        1108758  4306d2e86dc2ee69  e083a8de005d8b0b
     52              4              4              0  4306d2e86dc2ee69  e2a746c1b136ac15
     53              4              4              0  4306d2e86dc2ee69  e40ab93a908adb5f
     54             71             10              1  4306d2e86dc2ee69  ea5d4002db320c68
     55          11191           1201              0  4306d2e86dc2ee69  ed8cd29c724a65fc
     56    5.19574e+06        2198205          57298  4306d2e86dc2ee69  fb2c0dd2b4f075cf
     57             43             42              6  4306d2e86dc2ee69  fbe7ff048e8edb18
     58              4              4              0  4306d2e86dc2ee69  fc39c2bd179e28c0
     59          90061          72310            962  b37b183445c96596  011d2a5e7b19a5ee
     60         180309          86772           1021  b37b183445c96596  0abcee64fc570d70
     61         702604         196479           2185  b37b183445c96596  0b8b4f34aabd7eb0
     62            816             27              0  b37b183445c96596  24b1019ffde88caa
     63    1.18193e+07        2368506          47009  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            562  b37b183445c96596  4c887614dd02f590
     66            255              9              0  b37b183445c96596  5a64f7ba7a51f79f
     67          58908          57848            491  b37b183445c96596  675726f7a60715aa
     68          21728           6849            249  b37b183445c96596  a5a6044a4c07d484
     69            148             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 1
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0     1.7811e+06        1452978          12415  0000000000000000  0000000000000000
     59          90157          72310            856  b37b183445c96596  011d2a5e7b19a5ee
     60         181896          86772            866  b37b183445c96596  0abcee64fc570d70
     61         701353         198081           1847  b37b183445c96596  0b8b4f34aabd7eb0
     62            798             27              0  b37b183445c96596  24b1019ffde88caa
     63     1.4122e+07        2841426          48154  b37b183445c96596  2e930d38ea32691b
     64             60              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            532  b37b183445c96596  4c887614dd02f590
     66            281              9              7  b37b183445c96596  5a64f7ba7a51f79f
     67          58700          57848            457  b37b183445c96596  675726f7a60715aa
     68          16192           6195            126  b37b183445c96596  a5a6044a4c07d484
     69            156             10              2  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 2
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.10208e+06        2473546          13072  0000000000000000  0000000000000000
     59          89900          72310            992  b37b183445c96596  011d2a5e7b19a5ee
