============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        10803.3              2           7557  0000000000000000  0000000000000000
      1    1.34287e+09     7435205412         566266  0000000000000001  0000000000000001
      2              3             29              0  0661e7e6a3b08935  12a3659f298ae93c
      3        1386.67            862              9  0661e7e6a3b08935  149c682817c0469b
      4        1657.67            465              2  0661e7e6a3b08935  167f20731ee389f6
      5        28744.3          57173            349  0661e7e6a3b08935  280610f8d104ec6e
      6        680.666           1213             10  0661e7e6a3b08935  4676aeeb49569876
      7              4             27              5  0661e7e6a3b08935  52f076a1459aa809
      8        96.3332             30              0  0661e7e6a3b08935  98ac64c135bcde78
      9        8.99999             18              0  0661e7e6a3b08935  9ff0dabb08290233
     10        301.666             33              0  0661e7e6a3b08935  c6476219bb0f0626
     11        145.667             26              5  0661e7e6a3b08935  e425ecd49b64c5ff
     12       0.333333              4              0  14c44ece7e21cf1e  0304eebf6cc99bcf
     13              2             21              3  14c44ece7e21cf1e  08a770aa567e8d70
     14       0.999999              5              1  14c44ece7e21cf1e  0a664dcc2e48744b
     15        1.66667             17              0  14c44ece7e21cf1e  0de8d2206939a67f
     16        77.9999              4              0  14c44ece7e21cf1e  0ec50d291a7f055d
     17       0.333333              4              0  14c44ece7e21cf1e  0f95457e773a9b72
     18        19864.3          58715            140  14c44ece7e21cf1e  0fa7f69fe82e8bd3
     19             21             10              4  14c44ece7e21cf1e  0fc78dc5beab6474
     20       0.999999              6              1  14c44ece7e21cf1e  140c52bf2129a4ee
     21        41412.6         428773           4967  14c44ece7e21cf1e  1ebdd7450fe64178
     22        1.33333             14              0  14c44ece7e21cf1e  266b04e53f3c1971
     23       0.666666              7              6  14c44ece7e21cf1e  2bb01ad816a97f0e
     24       0.333333              4              3  14c44ece7e21cf1e  2d38202b29fcd24d
     25        37.3333             10              4  14c44ece7e21cf1e  3095590609a9cbbb
     26        10109.3         106068              1  14c44ece7e21cf1e  31166831a39f18ec
     27        10.6667            110              1  14c44ece7e21cf1e  314191aba4ecf188
     28        625.666           1537              4  14c44ece7e21cf1e  338c6103173a4f0e
     29        5.99999             32              8  14c44ece7e21cf1e  3397bee700a2b48d
     30        189.333             19              0  14c44ece7e21cf1e  3a37ba8c2436b357
     31        1.33333             12              0  14c44ece7e21cf1e  3e3b61ebc38be11f
     32       0.999999              6              1  14c44ece7e21cf1e  4397b873dbfef837
     33              3             17              0  14c44ece7e21cf1e  4cb51b60850f0acb
     34       0.333333              4              1  14c44ece7e21cf1e  5c81c03dfcc66fc9
     35        66133.9         463608              4  14c44ece7e21cf1e  6233613a6eb32d0a
     36        20972.3         240206              0  14c44ece7e21cf1e  63f1c4b819d7a95f
     37        3.33333             24              4  14c44ece7e21cf1e  653598afe8baa3d4
     38       0.666666              2              1  14c44ece7e21cf1e  67f93688fcad3361
     39        89.9999            106              8  14c44ece7e21cf1e  739544fd26e1f85a
     40         182158         581157              5  14c44ece7e21cf1e  753b709df28acd93
     41        9.33332             35              4  14c44ece7e21cf1e  7a1f801462fbb68e
     42        5.33333             51              4  14c44ece7e21cf1e  7a44402a3fd33dde
     43       0.999999              7              1  14c44ece7e21cf1e  7c16b39f69df7489
     44       0.999999             10              1  14c44ece7e21cf1e  838eb3cf968dd812
     45        208.333             22              4  14c44ece7e21cf1e  83bef1e1970b84b3
     46       0.333333              3              0  14c44ece7e21cf1e  86478dc54af0d0f4
     47              2             20              3  14c44ece7e21cf1e  8f435a997900555a
     48              3             26              3  14c44ece7e21cf1e  9dfba72360287390
     49              2             13              0  14c44ece7e21cf1e  a24eaa2cf2782901
     50          34019           7906            888  14c44ece7e21cf1e  a7722c7642122e6e
     51        13.6667             16              4  14c44ece7e21cf1e  ab9963bdac4c7ec9
     52        1.33333             15              4  14c44ece7e21cf1e  ad278eae83788fbf
     53       0.999999              3              2  14c44ece7e21cf1e  ae3e7ca33b978784
     54       0.999999              5              0  14c44ece7e21cf1e  af5f41cfbcb91d9a
     55       0.333333              4              0  14c44ece7e21cf1e  b2f51dc8577d1cdf
     56        2.66666             28              8  14c44ece7e21cf1e  bba545f90d5d1b02
     57       0.666666              4              0  14c44ece7e21cf1e  bbd453c51e0664a5
     58       0.666666              7              1  14c44ece7e21cf1e  bdd02d9b17cc59dc
     59        74.3333             17              0  14c44ece7e21cf1e  beab52d4be71a912
     60              2             16              4  14c44ece7e21cf1e  c3087c6306865a56
     61        282.666             24              4  14c44ece7e21cf1e  c3ee637a42772553
     62        1.66667             18              4  14c44ece7e21cf1e  c577f12ab71f2c9f
     63        3.66666             21              0  14c44ece7e21cf1e  c9216e58338f388a
     64              2             20              0  14c44ece7e21cf1e  c9367a21b3cabeb7
     65        5.66666             48              1  14c44ece7e21cf1e  c9d075a1c5fd3b01
     66        1.66667             15              0  14c44ece7e21cf1e  cdf5276b23d99590
     67       0.999999              4              2  14c44ece7e21cf1e  cf5a484705a8936c
     68        566.333            216              0  14c44ece7e21cf1e  d2d2c402fa5810ad
     69        179.666             15              5  14c44ece7e21cf1e  d5bfd0a0852b3b00
     70        12.6667             61              0  14c44ece7e21cf1e  db0e10b341f79c64
     71        2.33333             23              0  14c44ece7e21cf1e  df2ff492f95139e3
     72        1.66667             18              4  14c44ece7e21cf1e  e016753ef6d33c55
     73        12.6667             53              1  14c44ece7e21cf1e  e0e7a0b6fdd5d308
     74       0.666666              6              2  14c44ece7e21cf1e  e2cb45327847b94f
     75              4             36              0  14c44ece7e21cf1e  e49c82165bb227d6
     76       0.666666              6              1  14c44ece7e21cf1e  e58eec6f3e74b675
     77        12.3333             64              1  14c44ece7e21cf1e  e6d58dd05df95c0a
     78             45            165              1  14c44ece7e21cf1e  e92b051072d1c11d
     79       0.666666              2              0  14c44ece7e21cf1e  eb6851e7147817f2
     80        62.3333              4              0  14c44ece7e21cf1e  ee897645bed74551
     81       0.333333              3              0  14c44ece7e21cf1e  f5091e0448b4c812
     82        15838.3         115868              0  14c44ece7e21cf1e  f857a626026487a5
     83       0.666666              7              0  14c44ece7e21cf1e  f86151f60be2753b
     84        1.33333             13              0  14c44ece7e21cf1e  f9fd82302ab14f69
     85              2             16              4  14c44ece7e21cf1e  ff2f00aa501060d1
     86        2.33333             21              0  199c936240cd2982  2206384710407649
     87       0.666666              6              3  1a2d7d0dade06f00  167ed34003a29103
     88       0.333333              4              1  1a2d7d0dade06f00  3d2dd0143719c01a
     89       0.666666              8              1  1a2d7d0dade06f00  5a20e0411249200d
     90        691.666            764             33  1a2d7d0dade06f00  79edae693e4c3058
     91       0.666666              5              1  1a2d7d0dade06f00  8dd9e3fd293e7c28
     92       0.666666              6              0  1a2d7d0dade06f00  91d46825942a3859
     93       0.666666              5              0  1a2d7d0dade06f00  9616b235dedefa76
     94              3             32              2  1a2d7d0dade06f00  b545f5fadce202f3
     95    5.52776e+07       76341695        1342945  1a2d7d0dade06f00  baeef59be7ab2b04
     96        286.666            231              2  1a2d7d0dade06f00  e3119cb61fbf1a03
     97        28.6666             48              8  1a2d7d0dade06f00  fe3d7d491e1ac61e
     98        61.6666              5              0  268ec1b4685ed13f  30b939cae52431ec
     99       0.999999              4              0  268ec1b4685ed13f  51d8f8245c4e5d89
    100              0              0              0  268ec1b4685ed13f  bc2825cbc2a92f61
    101        9118.99           7579            181  268ec1b4685ed13f  f61936d4a17298df
    102            337           1516              0  320db2e0a8bf59b1  066d30bea94fde2e
    103        21932.3          63183             57  320db2e0a8bf59b1  0cf1d0d379548855
    104          23798         126054             74  320db2e0a8bf59b1  0fb096ae8242c62c
    105    8.80776e+06       33294811        3775366  320db2e0a8bf59b1  112556204d61c9bb
    106          45457          48259             15  320db2e0a8bf59b1  19ecb6d8e2858db5
    107            111            868              0  320db2e0a8bf59b1  1a7c1b7f8dd24b4d
    108       0.666666              7              1  320db2e0a8bf59b1  2482bbbf5087fdcd
    109    2.56092e+06       22532164              2  320db2e0a8bf59b1  27778d5bfb9d9cda
    110        235.333           1665              1  320db2e0a8bf59b1  32a5440a9f07775d
    111            180            827              1  320db2e0a8bf59b1  346b45df3c2e9251
    112    4.78588e+08      398529798        7621503  320db2e0a8bf59b1  3f33b931d6782ac3
    113       0.333333              3              0  320db2e0a8bf59b1  441f3a593d3f7b70
    114         342250         162536          15254  320db2e0a8bf59b1  48f0aaa67d45a4ab
    115        505.999           3542              2  320db2e0a8bf59b1  4c4551d82602cc2b
    116       0.666666              6              2  320db2e0a8bf59b1  52dbd8a0f1672645
    117        10042.7          64884             15  320db2e0a8bf59b1  624e06f39d454412
