============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        11415.7              0           7543  0000000000000000  0000000000000000
      1          29954          33504            578  0000000000000001  0000000000000001
      2          12664          99512            332  06ff2d78e62a2132  f9e005da800f2685
      3        1647.67           1220             30  1a77e7c01128c0c1  e9663b8aaf54edcd
      4          15781          27405            247  2b4fc08802456e8b  e9ffb3f94f2264e0
      5           2257           5904             20  3cca91f5772d1024  4c2e3f2c8c15dad9
      6         731720        6385253            170  4e232e4988bdd1d3  a6af40e8bea43f7a
      7        699.333            306              8  70f26f616c2926a0  5bc0a39b1dab0d57
      8        13019.7          99561            198  7270a93088099ffe  ae8a327e0d822bbc
      9        17465.6          23342            322  8140488cc931420a  a21001b907c1cbd8
     10              0              0            294  938c62b4ef226e86  f0d3224233dc01d9
     11        4908.66           9329             47  9b3d1252b9eb5f82  237af1a5701ad864
     12           3902           1621             82  db44648d1cd74507  baaa8226943b3d57
     13        1900.66           1138             32  f5c752cd52359c74  0fdb0b0e4ab6a1f7
     14        1981.33           3229             22  fd954cee1725c096  61ca7bf64a3ece6b
